Gene_name	Comment	Keyword
CCDC189	Cytoplasmic expression in several different cell types. High expression in cilia.,Duodenum displayed strong membranous staining. Respiratory epithelium and fallopian tube showed distinct positivity in cilia. Moderate membranous staining was observed in small intestine, epididymis, adrenocortical cells and islets of Langerhans whereas moderate cytoplasmic positivity was displayed in urothelium, renal tubules and Leydig cells. Plasma distinctly stained. Remaining normal tissues were weakly stained or negative.,Normal tissues showed weak to moderate cytoplasmic staining. Fallopian tube and respiratory epithelium of bronchus displayed strong positivity in cilia. Thyroid, trophoblastic cells and exocrine pancreas exhibited moderate cytoplasmic and nuclear staining. Liver, parathyroid, non-germinal center cells and the CNS tissues except Purkinje cells were negative.	Cilia
CCDC39	Expression in cilia and flagella.,Cilia in respiratory epithelium of bronchus and fallopian tube showed moderate staining. Stomach, lower displayed moderate cytoplasmic positivity. Remaining normal tissues were negative.,Cilia in respiratory epithelium of bronchus and fallopian tube showed strong staining while of nasopharynx displayed moderate positivity. A subset cells in seminiferus ducts displayed strong positivity. Remaining normal tissues were negative.<br>Expression in cilia and flagella.<br>Expression in cilia and flagella.,Cilia in respiratory epithelium of bronchus and fallopian tube showed moderate staining. Stomach, lower displayed moderate cytoplasmic positivity. Remaining normal tissues were negative.,Cilia in respiratory epithelium of bronchus and fallopian tube showed strong staining while of nasopharynx displayed moderate positivity. A subset cells in seminiferus ducts displayed strong positivity. Remaining normal tissues were negative.<br>Expression in cilia and flagella.	Cilia<br>Cilia<br>Flagella<br>Flagella
CCDC40	Expressed mainly in cilia.,Moderate positivity was observed in ciliated cells, in e.g. bronchus, nasopharynx, endometrium and fallopian tube. Remaining normal tissues were weakly stained or negative.	Cilia
CCDC51	Mainly localized to the nucleoplasm & mitochondria. In addition localized to the centrosome.,centrosome,centrosome,centrosome	Centrosome
CCDC85C	Adrenal gland, subset of cells in rectum and squamous cells in uterine cervix showed strong cytoplasmic staining. Renal tubules were moderately stained. Few cells in bronchus showed strong positivity in cilia. Other normal tissues were weakly stained or negative.	Cilia
CCDC88B	Mainly localized to the centrosome. In addition localized to the nucleoplasm & cytosol.,centrosome,centrosome,centrosome,centrosome	Centrosome
CCDC92	Mainly localized to the centrosome. In addition localized to the nucleoplasm.,centrosome,centrosome,centrosome,centrosome	Centrosome
CCDC96	Cytoplasmic expression in ciliated cells and cells of seminiferous ducts.,Cilia of respiratory epithelia, uterus and fallopian tube showed moderate to strong positivity. A subset of cells in renal tubules displayed moderate membranous staining while a subset of trophoblast cells, cells in seminiferus ducts and small intestine showed moderate cytoplasmic positivity. Leydig cells exhibited strong membranous and cytoplasmic immunoreactivity. Remaining normal tissues were negative.	Cilia
CCNF	Mainly localized to the centrosome.,centrosome,centrosome,centrosome	Centrosome
CCP110	Localized to the centrosome.,centrosome,centrosome	Centrosome
CD163L1	Mainly localized to the cytosol & centrosome. In addition localized to the nucleoplasm.,centrosome,centrosome,centrosome	Centrosome
CD164L2	Subset of cells in salivary gland and seminal vesicle showed strong cytoplasmic staining. Cilia in respiratory epithelia and fallopian tube showed weak positivity. Remaining normal tissues were negative.	Cilia
CD33	Weak to moderate cytoplasmic and nuclear positivity was observed in most normal tissues. Cilia in fallopian tube and respiratory tract were distinctly stained. Strong positivity was observed in bone marrow, neuronal cells, cells in seminiferous ducts, trophoblasic cells and endocervical glands.	Cilia
CD3D	Subsets of cells in lymphoid tissues displayed strong cytoplasmic staining. Distinctly staining was observed in the cilia of airway epithelium and fallopian tube while most other normal tissues were negative.	Cilia
CD47	Prostate, trophoblastic cells , gallbladder, urothelium and skeletal muscle showed moderate cytoplasmic and membranous staining. Fallopian tube showed distinct staining of cilia. The remaining normal tissues showed weak staining or were negative.	Cilia
CD80	Cilia in respiratory epithelia, fallopian tubes and few cells in endometrial glands showed distinct positivity. Lymphoid tissues, neuronal cells, epididymis, Leydig cells and adrenal glands displayed weak to moderate cytoplasmic immunoreactivity. remaining normal tissues were negative.	Cilia
CD99L2	Cytoplasmic expression in most tissues, distinct membranous expression in ciliated cells.	Cilia
CDC42EP5	Glandular cells in stomach, small intestine, most endothelial cells, subsets of renal tubules and subsets of cells in seminiferus ducts of testis showed strong cytoplasmic positivity. Gastric glands showed additional membranous staining. Cilia in fallopian tubes were moderately stained. Remaining normal tissues were negative.	Cilia
CDC42SE1	Strong cytoplasmic positivity was observed in subsets of immune cells in lymphoid and peripheral tissues. Moderate staining was displayed in cardiac muscle, parathyroid gland and in cilia of fallopian tube and respiratory epithelia. Remaining tissues were weakly stained or negative.	Cilia
CDC45	Mainly localized to the nucleoplasm. In addition localized to the cytosol & centrosome.,centrosome,centrosome,centrosome	Centrosome
CDC5L	Most normal tissues showed moderate to strong nuclear staining. Strong staining of cilia was observed in fallopian tube and airway epithelia.	Cilia
CDHR3	Strong cytoplasmic immunoreactivity in respiratory epithelia and in the salivary gland. Moderate positivity of cilia in fallopian tube and uterus. Remaining tissues were negative.	Cilia
CDHR4	Expressed in ciliated cells in fallopian tube, uterine and respiratory tract. Also expressed in spermatids.	Cilia
CDIP1	Mainly localized to the centrosome. In addition localized to the nucleoplasm.,centrosome,centrosome,centrosome,centrosome	Centrosome
CDK2	Mainly localized to the nucleoplasm. In addition localized to the cytosol & centrosome.,centrosome,centrosome	Centrosome
CDK5RAP2	Mainly localized to the centrosome. In addition localized to the cell junctions.,centrosome,centrosome,centrosome,centrosome,centrosome,centrosome,centrosome,centrosome	Centrosome
CDKL2	Localized to the nucleoplasm & centrosome.,centrosome,centrosome,centrosome,centrosome	Centrosome
CDNF	Most normal tissues showed weak to moderate cytoplasmic staining. Hepatocytes, skeletal muscle, ciliated cells and most endocrine glands exhibited strong positivity. Pneumocytes, parathyroid, renal glomeruli, most of the mesenchymal cells, hematopoietic cells and spleen were negative.	Cilia
CDR1	Localized to the nucleoplasm, the Golgi apparatus & centrosome.,centrosome,centrosome,centrosome,centrosome	Centrosome
CENPJ	Localized to the nucleoplasm, plasma membrane & centrosome.,centrosome,centrosome,centrosome,centrosome	Centrosome
CEP131	Membranous expression in several tissues, including expression in ciliary rootlets.	Cilia
CEP152	Mainly localized to the centrosome.,centrosome,centrosome,centrosome,centrosome	Centrosome
CEP164	Mainly localized to the centrosome. In addition localized to the nucleoplasm.,centrosome,centrosome,centrosome,centrosome,centrosome,centrosome	Centrosome
CEP170	Mainly localized to the centrosome. In addition localized to the cytosol & mitotic spindle.,centrosome,centrosome,centrosome,centrosome,centrosome,centrosome	Centrosome
CEP170B	Mainly localized to the cytosol & centrosome.,centrosome,centrosome,centrosome	Centrosome
CEP19	Localized to the centrosome.,centrosome,centrosome,centrosome,centrosome	Centrosome
CEP192	Localized to the cytosol & centrosome.,centrosome,centrosome	Centrosome
CEP250	Localized to the centrosome.,centrosome,centrosome,centrosome	Centrosome
CEP290	Localized to the centrosome.,centrosome,centrosome,centrosome	Centrosome
CEP350	Localized to the centrosome.,centrosome,centrosome,centrosome,centrosome,centrosome	Centrosome
CEP70	Mainly localized to the nucleoplasm & cytosol. In addition localized to the centrosome.,centrosome,centrosome	Centrosome
CEP72	Localized to the centrosome.,centrosome,centrosome	Centrosome
CEP85	centrosome,centrosome	Centrosome
CEP95	Mainly localized to the nucleoplasm. In addition localized to the centrosome, mitotic spindle & vesicles.,centrosome,centrosome	Centrosome
CEP97	Cytoplasmic expression in several tissues, including ciliated glandular cells.,Ciliated cells in respiratory epithelium and fallopian tube, cells in  lymphoid tissues, seminiferous duct cells in testis, epididymis showed strong cytoplasmic positivity. Islets in pancreas and endocrine glands displayed moderate immunoreactivity. Neuronal cells in CNS shows nuclear membrane staining. Remaining normal cells were weakly stained or negative.	Cilia
CETN3	Localized to the centrosome.,centrosome,centrosome,centrosome,centrosome	Centrosome
CFAP100	Cytoplasmic expression mainly in ciliated cells of fallopian tube.,A subset of renal tubules showed strong cytoplasmic and membranous positivity. Cilia in fallopian tube were distinctly stained. Thyroid displayed moderate membranous staining. Remaining normal tissues were negative.	Cilia
CFAP126	Distinct expression in cilia in fallopian tube and respiratory epithelia.,Cilia in respiratory epithelia and fallopian tube showed strong positivity. Rectum displayed moderate cytoplasmic staining while Leydig cells exhibited weak nuclear immunoreactivity. Remaining normal tissues were weakly stained or negative.	Cilia
CFAP157	Selective expression in cilia in fallopian tube, respiratory tract and endometrium.,Cilia in fallopian tube showed strong positivity. Moderate to strong cytoplasmic and secreted immunoreactivity in subsets of glandular cells in gastrointestinal tract, respiratory tract and female genitalia. Extracellular matrix was generally distinctly stained. Most remaining cells were negative.,Ciliated cells of respiratory epithelia, fallopian tube and endometrium were distinctly stained. Subset of cells in squamous epithelia showed weak to moderate membranous staining. Remaining normal tissues were mostly negative.	Cilia
CFAP161	Cones and nerve fibers in retina showed strong cytoplasmic staining. Moderate to strong cytoplasmic positivity was observed in several tissues, in e.g. gastrointestinal tract, heart muscle, breast, placenta. Additional positivity was observed in spermatids, cilia in bronchus and fallopian tube. Lymphoid tissues were negative.	Cilia
CFAP45	Selective expression in cilia.,Intestinal tract, a fraction of neuronal cells, glandular cells in breast, urothelial cells, placental trophoblasts, chondrocytes, epididymis and uterine glands displayed moderate to strong cytoplasmic positivity. Cilia in respiratory epithelia and fallopian tube were strongly stained. Remaining normal cells were weakly stained or negative.,Cilia in respiratory epithelium and fallopian tubes displayed strong immunoreactivity. Hepatocytes showed moderate cytoplasmic positivity. Red blood cells were stained. Other normal tissues including stromal cells were mainly negative.	Cilia
CFAP52	Selective cilia expression.,Cilia distinctly stained in fallopian tube, respiratory tract and endometrium. Adrenal glands showed moderate cytoplasmic and nuclear positivity. Remaining normal tissues were weakly stained or negative.	Cilia
CFAP53	Cytoplasmic and cilia expression in seminiferous ducts and ciliated cells.,Moderate cytoplasmic positivity was observed in a subset of cells in seminiferous ducts. Additional strong positivity was displayed in ciliated cells in endometrium, bronchus and fallopian tube. Remaining normal tissues were negative.	Cilia
CFAP54	Selective expression in cilia in fallopian tube and respiratory epithelia as well as subsets of cells in seminiferous ducts.,Moderate membranous staining was observed in cilia in fallopian tube and respiratory epithelia. Spermatogonia, subsets of lymphocytes in tonsils and cells in renal tubules showed cytoplasmic positivity. Other tissues were mainly weakly stained or negative.	Cilia
CFAP57	Selective expression in cilia in fallopian tube and in spermatids.,Cilia in bronchial epithelium and fallopian tube showed strong positivity. Neuronal cells in CNS and testis displayed moderate cytoplasmic immunoreactivity. Remaining normal cells were weakly stained or negative.	Cilia
CFAP58	Expression in cilia of fallopian tube and respiratory epithelia.,Strong positivity was observed in a subset of bone marrow poietic and inflammatory cells. Rectum showed moderate cytoplasmic positivity. Cilia was weakly stained. Remaining normal tissues were in general negative.	Cilia
CFAP61	Expression in cilia in fallopian tube and respiratory epithelia. Additional cytoplasmic expression in a few tissues.	Cilia
CFAP70	Distinct expression in sperm flagella and in cilia of glandular cells in fallopian tube, endometrium and respiratory tract.,Strong cilia positivity was observed in bronchus, endometrium and fallopian tube. A subset of cells in seminiferous ducts showed moderate cytoplasmic staining. Most remaining normal tissues were weakly stained or negative.,Strong positivity was observed in flagella in sperm and cilia in fallopian tube, endometrium and respiratory epithelial cells. Remaining normal tissues were mainly negative.<br>Distinct expression in sperm flagella and in cilia of glandular cells in fallopian tube, endometrium and respiratory tract.,Strong positivity was observed in flagella in sperm and cilia in fallopian tube, endometrium and respiratory epithelial cells. Remaining normal tissues were mainly negative.<br>Distinct expression in sperm flagella and in cilia of glandular cells in fallopian tube, endometrium and respiratory tract.,Strong cilia positivity was observed in bronchus, endometrium and fallopian tube. A subset of cells in seminiferous ducts showed moderate cytoplasmic staining. Most remaining normal tissues were weakly stained or negative.,Strong positivity was observed in flagella in sperm and cilia in fallopian tube, endometrium and respiratory epithelial cells. Remaining normal tissues were mainly negative.<br>Distinct expression in sperm flagella and in cilia of glandular cells in fallopian tube, endometrium and respiratory tract.,Strong positivity was observed in flagella in sperm and cilia in fallopian tube, endometrium and respiratory epithelial cells. Remaining normal tissues were mainly negative.	Cilia<br>Cilia<br>Flagella<br>Flagella
CFAP73	Distinct expression in cilia of fallopian glandular cells and respiratory epithelia.	Cilia
CFAP74	Expression in ciliated cells in fallopian tube and respiratory epithelia. Additional expression in testis.,Dot like positivity was observed in a subset of cells in testis. Cilia in fallopian tube and respiratory epithelium showed weak to moderate staining.  Remaining normal tissues were generally negative.,Strong cytoplasmic positivity was observed in a fraction of cells in testis and ciliated cells in respiratory epithelia, fallopian tube and endometrium. Moderate staining was displayed in a few squamous and glandular epithelia. Remaining tissues were mainly negative.	Cilia
CFAP77	Expression in mainly in cilia of fallopian tube and respiratory tract.,Strong cytoplasmic positivity was observed in hematopoietic cells and in a subset of lymphoid cells in tonsil and spleen. Ciliated cells in respiratory epithelia and fallopian tubes exhibited distinct membranous immunoreactivity while gastric parietal cells showed moderate cytoplasmic staining. The remaining normal tissues were negative.,Cilia in respiratory epithelial cells and fallopian tube showed moderate to strong immunoreactivity. Strong nuclear positivity was observed in spermatozoa. Remaining tissues were negative.	Cilia
CGGBP1	Most normal cells showed moderate nuclear staining and several tissues including ciliated cells showed additional cytoplasmic positivity. Non-germinal center cells were strongly stained. Glial cells were generally negative.	Cilia
CHADL	Normal tissues exhibited moderate to strong cytoplasmic positivity. Ciliated cells, e.g. airway epithelium, stained distinctly in luminal membranes in addition to cytoplasmic positivity. Neurons in the CNS displayed distinct staining of nuclear membranes and cytoplasm.	Cilia
CHPF	Mainly localized to the cytosol. In addition localized to the centrosome & vesicles.,centrosome,centrosome,centrosome,centrosome	Centrosome
CHRNA3	Strong membranous staining was observed in ciliated cells of respiratory epithelia, fallopian tubes and cervical glands. Liver, skin, breast, prostate, cells in CNS and lymphoid tissues were negative. The remaining normal tissues displayed weak to moderate membranous and cytoplasmic immunoreactivity.	Cilia
CHRNB1	Most normal tissues showed moderate to strong cytoplasmic positivity. Distinct staining of neurons in cns, ciliated border in nasopharynx and fallopian tube.	Cilia
CHST15	Mainly localized to the cytosol. In addition localized to the centrosome.,centrosome,centrosome,centrosome,centrosome	Centrosome
CKAP5	Mainly localized to the plasma membrane & centrosome. In addition localized to the nucleoli.,centrosome,centrosome,centrosome	Centrosome
CLEC11A	Localized to the centrosome.,centrosome,centrosome,centrosome	Centrosome
CLEC16A	Most normal tissues showed weak to moderate cytoplasmic often granular positivity. Strong positivity was observed in salivary gland ducts, adrenal cortex, renal tubules, Leydig cells, ciliated cells of respiratory epithelium and fallopian tube. Glial cells, lymphoid tissues, smooth and skeletal muscle were negative.	Cilia
CLHC1	Localized to the nucleoli fibrillar center & centrosome.,centrosome,centrosome,centrosome	Centrosome
CMTM4	Most normal tissues showed weak to moderate cytoplasmic and occasional membranous positivity. The gastric mucosa and cilia in respiratory epithelia and fallopian tube displayed strong positivity.	Cilia
CMYA5	Moderate to strong cytoplasmic staining was observed in skeletal, smooth and heart muscle and squamous epithelial cells. Additional cilia staining was displayed in respiratory epithelia and fallopian tube. Most remaining tissues were negative.	Cilia
CNOT10	Mainly localized to the nucleoplasm & centrosome. In addition localized to the cytosol.,centrosome,centrosome,centrosome	Centrosome
CNTLN	Mainly localized to the centrosome. In addition localized to the nucleoplasm & cytosol.,centrosome,centrosome	Centrosome
CNTN2	Ciliated cells showed distinct staining of luminal membranes. Myocytes, blood vessels and fibroblasts displayed strong cytoplasmic positivity. Remaining normal cells were weakly stained or negative.	Cilia
CNTRL	Mainly localized to the centrosome. In addition localized to the cytosol.,centrosome,centrosome	Centrosome
CNTROB	Mainly localized to the centrosome. In addition localized to the cytosol.,centrosome,centrosome,centrosome,centrosome	Centrosome
CPA4	Mainly localized to the nucleoplasm. In addition localized to the cytosol & centrosome.,centrosome,centrosome	Centrosome
CPE	Mainly localized to the centrosome. In addition localized to the nucleoplasm & vesicles.,centrosome,centrosome,centrosome,centrosome	Centrosome
CPNE6	Moderate to strong cytoplasmic positivity was observed in a subset of cells and neuropil in CNS and glandular cells in the gastrointestinal tract and epididymis. A few endometrial glandular cells and respiratory epithelial cells displayed strong cilia staining. A majority of remaining normal tissues were negative.	Cilia
CPT1C	Localized to the centrosome.,centrosome,centrosome,centrosome	Centrosome
CRIP1	Mainly localized to the nuclear speckles & cytosol. In addition localized to the plasma membrane & centrosome.,centrosome,centrosome,centrosome,centrosome	Centrosome
CRIPT	Strong cytoplasmic and nuclear positivity was observed in subsets of glial cells, cells in endometrial glands and ciliated cells. Superficial gastric glands showed strong cytoplasmic staining. Hepatocytes and subset of seminiferous duct cells showed moderate cytoplasmic immunoreactivity. Remaining normal tissues were negative.	Cilia
CRMP1	Mainly localized to the centrosome. In addition localized to the cytosol.,centrosome,centrosome,centrosome	Centrosome
CROCC	Selective expression in ciliary rootlets of ciliated cells in fallopian tube and respiratory epithelium.,Strong membranous staining was observed in ciliated cells of epididymis, airway epithelia and the fallopian tube. Remaining normal cells were negative or weakly stained.,Most normal tissues were negative. Weak to moderate cytoplasmic staining was observed in Leydig cells of testis and in luminal membranes of ciliated cells.<br>Mainly localized to the plasma membrane & centrosome.,centrosome,centrosome,centrosome,centrosome<br>Selective expression in ciliary rootlets of ciliated cells in fallopian tube and respiratory epithelium.,Strong membranous staining was observed in ciliated cells of epididymis, airway epithelia and the fallopian tube. Remaining normal cells were negative or weakly stained.,Most normal tissues were negative. Weak to moderate cytoplasmic staining was observed in Leydig cells of testis and in luminal membranes of ciliated cells.<br>Mainly localized to the plasma membrane & centrosome.,centrosome,centrosome,centrosome,centrosome	Cilia<br>Cilia<br>Centrosome<br>Centrosome
CROCC2	Expression in ciliary rootlets.	Cilia
CSNK1G2	The gastrointestinal tract, gall bladder and pancreatic intercalated ducts showed strong cytoplasmic staining while ciliated cells displayed strong immunoreactivity in the luminal membrane. Remaining normal tissues were negative.	Cilia
CST11	Expression in cilia of epididymis.	Cilia
CTNNBL1	Mainly localized to the nucleoplasm. In addition localized to the cytosol & centrosome.,centrosome,centrosome	Centrosome
CTSC	centrosome	Centrosome
CUEDC1	Mainly localized to the plasma membrane & cytosol. In addition localized to the centrosome.,centrosome,centrosome,centrosome,centrosome	Centrosome
CX3CL1	Most normal tissues showed moderate cytoplasmic staining. Strong staining was observed in microvilli and cilia. A subset of lymphoid cells and gastric parietal cells showed strong cytoplasmic staining.	Cilia
CXorf56	Mainly localized to the nucleoplasm. In addition localized to the centrosome.,centrosome,centrosome,centrosome	Centrosome
CYB5D1	Most normal tissues showed weak to moderate cytoplasmic immunoreactivity. Adrenal gland and distal renal tubules displayed strong cytoplasmic staining while the fallopian tube showed strong staining in cilia. Glial cells, liver and reaction center cells of lymphoid tissues were generally negative.	Cilia
CYB5D2	Mainly localized to the nuclear membrane. In addition localized to the nucleoli & centrosome.,centrosome,centrosome	Centrosome
CYP2E1	Strong cytoplasmic staining was found in hepatocytes, ciliated cells of respiratory tract and fallopian tube. Immunoreactivity was also found in most gastro intestinal tract. Most other cells were negative or weakly stained.	Cilia
CYP4B1	Cytoplasmic expression in several tissues, including ciliated cells in fallopian tube and respiratory tact.,Ciliated cells of the respiratory tract and fallopian tube showed strong positivity. Distinct staining was also found in megakaryocytes of bone marrow. Remaining normal cells were weakly stained or negative.	Cilia
CYSTM1	Stomach showed strong membranous and cytoplasmic staining. Cilia of respiratory epithelia and fallopian tube displayed moderate positivity. Remaining normal tissues were mainly negative.	Cilia
DAPK1	Localized to the centrosome.,centrosome,centrosome,centrosome,centrosome	Centrosome
DAW1	Ciliary expression in fallopian tube and respiratory epithelium.	Cilia
DCAF12L1	Expression mainly in ciliated cells of fallopian tube and cells in seminiferous ducts, mainly in late spermatids.	Cilia
DCAF12L2	Expression in several tissues, including ciliated cells of fallopian tube and cells in seminiferous ducts, mainly in late spermatids.	Cilia
DCAF13	Mainly localized to the nucleoplasm & nucleoli. In addition localized to the cytosol, centrosome & cell junctions.,centrosome,centrosome	Centrosome
DCAF8L1	Expression in cilia in seminiferous ducts, fallopian tube and respiratory epithelium.,A subset of cells in respiratory epithelial showed moderate membranous staining. Cilia in fallopian tube displayed strong positivity. A subset of cells in renal tubules, salivary gland, rectum and cells in seminiferus ducts showed weak cytoplasmic positivity while decidual cells showed weak nuclear staining. Remaining normal tissues were negative.	Cilia
DCDC2	Cytoplasmic expression in several tissues, most abundant in cells in renal tubules and cilia in fallopian tube.	Cilia
DCTN2	Mainly localized to the centrosome.,centrosome,centrosome,centrosome,centrosome	Centrosome
DCTN4	Localized to the nucleoplasm & centrosome.,centrosome,centrosome	Centrosome
DDX11	Mainly localized to the nucleoplasm. In addition localized to the nucleoli fibrillar center & centrosome.,centrosome,centrosome	Centrosome
DEFB107A	Strong cytoplasmic positivity was observed in a fraction of cells in intestinal tract. Cilia in the respiratory epithelia and fallopian tube were distinctly stained. Seminiferus ducts showed moderate cytoplasmic and nuclear positivity. Germinal center cells, hematopoietic cells and cells in basal layer of squamous epithelia exhibited moderate nuclear staining. Remaining normal tissues were negative.	Cilia
DEFB107B	Strong cytoplasmic positivity was observed in a fraction of cells in intestinal tract. Cilia in the respiratory epithelia and fallopian tube were distinctly stained. Seminiferus ducts showed moderate cytoplasmic and nuclear positivity. Germinal center cells, hematopoietic cells and cells in basal layer of squamous epithelia exhibited moderate nuclear staining. Remaining normal tissues were negative.	Cilia
DEFB129	Expression in stereocilia in epididymis.,Moderate to strong cytoplasmic positivity was observed in endocrine cells in gastrointestinal tract, pancreatic islets and adrenal gland. Additional strong  positivity was observed in stereocilia in epididymis. Remaining normal tissues were negative.	Cilia
DENND1C	Mainly localized to the cytosol. In addition localized to the nucleoplasm & centrosome.,centrosome,centrosome	Centrosome
DHRS1	Mainly localized to the nucleoplasm. In addition localized to the cytosol & centrosome.,centrosome,centrosome,centrosome	Centrosome
DHX35	Mainly localized to the nuclear bodies. In addition localized to the nucleoplasm & centrosome.,centrosome,centrosome	Centrosome
DIS3L	Most of the normal cells showed weak to moderate cytoplasmic staining. the adrenal gland was strongly stained. Ciliated cells showed distinct membranous staining. Glial cells and muscle were negative.<br>Mainly localized to the plasma membrane & cytosol. In addition localized to the centrosome.,centrosome,centrosome,centrosome,centrosome<br>Most of the normal cells showed weak to moderate cytoplasmic staining. the adrenal gland was strongly stained. Ciliated cells showed distinct membranous staining. Glial cells and muscle were negative.<br>Mainly localized to the plasma membrane & cytosol. In addition localized to the centrosome.,centrosome,centrosome,centrosome,centrosome	Cilia<br>Cilia<br>Centrosome<br>Centrosome
DLEC1	Cytoplasmic expression in ciliated cells.,Strong cytoplasmic staining in subsets of cells in basal layers of ductus seminiferous in testis, cilia in respiratory epithelia and fallopian tube. Weak to moderate cytoplasmic staining in a few other tissues.	Cilia
DMBX1	Most normal tissues displayed moderate membranous staining with cases of cytoplasmic positivity. Strong immunoreactivity was observed in airway epithelia, salivary gland, cilia in fallopian tube and hepatocytes.	Cilia
DNAH1	Distinct expression in cilia of respiratory epithelium and fallopian tube.,Strong granular cytoplasmic positivity was observed in exocrine pancreas. Pyramidal neurons showed strong cytoplasmic staining. Cilia in the respiratory epithelia and fallopian tubes were moderately stained. Moderate cytoplasmic staining was observed in gastrointestinal tract, renal tubules, decidual cells, neuronal cells and smooth muscle cells. Remaining normal tissues were negative.	Cilia
DNAH10	Expressed in flagella of spermatids and cilia in fallopian tube and respiratory tract.,Moderate to strong positivity was observed in sperm flagella and cilia of glandular cells in fallopian tube and endometrium and respiratory epithelial cells. Ovarian follicle cells showed moderate cytoplasmic positivity. Remaining normal cells were weakly stained or negative.<br>Expressed in flagella of spermatids and cilia in fallopian tube and respiratory tract.,Moderate to strong positivity was observed in sperm flagella and cilia of glandular cells in fallopian tube and endometrium and respiratory epithelial cells. Ovarian follicle cells showed moderate cytoplasmic positivity. Remaining normal cells were weakly stained or negative.<br>Expressed in flagella of spermatids and cilia in fallopian tube and respiratory tract.,Moderate to strong positivity was observed in sperm flagella and cilia of glandular cells in fallopian tube and endometrium and respiratory epithelial cells. Ovarian follicle cells showed moderate cytoplasmic positivity. Remaining normal cells were weakly stained or negative.<br>Expressed in flagella of spermatids and cilia in fallopian tube and respiratory tract.,Moderate to strong positivity was observed in sperm flagella and cilia of glandular cells in fallopian tube and endometrium and respiratory epithelial cells. Ovarian follicle cells showed moderate cytoplasmic positivity. Remaining normal cells were weakly stained or negative.	Cilia<br>Cilia<br>Flagella<br>Flagella
DNAH11	Expression in ciliated cells in fallopian tube and respiratory tract.,Cilia of respiratory epithelia and fallopian tube were moderately stained. Placental trophoblasts, hepatocytes, renal tubules, smooth muscle, adrenal cortical cells, Leydig cells and parts of the gastrointestinal tract displayed moderate cytoplasmic staining. Remaining normal tissues were in general negative.,Moderate membranous staining of ciliated cells in respiratory epithelia and fallopian tube. Weak to moderate cytoplasmic staining in the gastrointestinal tract and exocrine pancreas. Remaining tissues were negative.	Cilia
DNAH12	Selective expression in cilia in fallopian tube and respiratory epithelia.,Cilia of fallopian tube and respiratory epithelium of bronchus showed weak to moderate staining. Glandular cells of small intestine displayed moderate membranous immunoreactivity. Testis, trophoblastic cells and gall bladder showed weak cytoplasmic staining. Remaining normal tissues were mostly negative.,Moderate cytoplasmic positivity was observed in heart myocytes and salivary gland. Ciliated cells of fallopian tube were moderately stained. Remaining normal tissues were negative.,Strong cytoplasmic positivity was observed in heart myocytes. Skeletal myocytes, small intestine and subset of hematopoietic cells were moderately stained. Cilia in fallopian tube were moderately stained. Smooth muscle cells and bronchus were weakly positive. Remaining normal tissues were negative.	Cilia
DNAH14	Expression mainly in ciliated cells in fallopian tube and respiratory epithelia.,Cilia in fallopian tube and respiratory epithelia showed moderate positivity. Renal tubules and adrenal gland showed moderate cytoplasmic and membranous staining. Moderate nuclear staining was observed in Purkinje cells while cardiac and skeletal myocytes displayed moderate cytoplasmic staining. Remaining normal tissues were weakly stained or negative.<br>Localized to the centrosome.,centrosome,centrosome,centrosome,centrosome<br>Expression mainly in ciliated cells in fallopian tube and respiratory epithelia.,Cilia in fallopian tube and respiratory epithelia showed moderate positivity. Renal tubules and adrenal gland showed moderate cytoplasmic and membranous staining. Moderate nuclear staining was observed in Purkinje cells while cardiac and skeletal myocytes displayed moderate cytoplasmic staining. Remaining normal tissues were weakly stained or negative.<br>Localized to the centrosome.,centrosome,centrosome,centrosome,centrosome	Cilia<br>Cilia<br>Centrosome<br>Centrosome
DNAH2	Selective expression in cilia,Cilia in fallopian tube, respiratory epithelia and endometrium showed strong immunoreactivity. Essentially all remaining tissues were negative.	Cilia
DNAH5	Distinct expression in cilia in fallopian tube and respiratory epithelia.,Cilia in the respiratory epithelia and fallopian tubes were distinctly stained. Remaining normal tissues were negative.,Cilia in the fallopian tubes and respiratory epithelia were strongly stained. Subsets of cells in bone marrow and prostate showed strong positivity. Myocytes and a fraction cells in red pulp of spleen displayed moderate staining. Other normal tissues were weakly stained or negative.	Cilia
DNAH6	Selective expression in cilia in fallopian tube and respiratory epithelia.,Cilia in fallopian tube and respiratory epithelium showed moderate to strongly stained. Megakaryocytes and platelets showed distinct staining. Squamous epithelial cells displayed moderate nuclear immunoreactivity. Leydig cells in testis, gallbladder exhibited moderate cytoplasmic positivity. Other normal tissues were in general weakly stained or negative.	Cilia
DNAH7	Expression in cilia of fallopian tube and respiratory epithelia.,Most normal tissues displayed weak to moderate cytoplasmic positivity. Cilia showed strong positivity. Liver, alveolar cells and glial cells were negative.	Cilia
DNAH9	Expression in cilia,Respiratory epithelium and fallopian tubes showed strong ciliary staining with moderate cytoplasmic positivity. Subset of neuronal cells in cerebral cortex and endometrial glands displayed moderate cytoplasmic positivity. Other normal tissues were generally negative.	Cilia
DNAI1	Selective cytoplasmic expression in seminiferous duct as well as ciliated cells in respiratory epithelia, fallopian tubes and endometrium.	Cilia
