Gene_name,row_names,Publication,Gene_ID,Pub_number
ANXA4,1450,Mayer et al. 2009,ANXA4,19
ANXA4,1451,Ostrowski et al.,P09525,20
ANXA4,1452,Liu et al.,ANXA4,28
ANXA4,1453,McClintock et al.,ANXA4,29
ANXA4,1454,Monika-Abedin-Sigg et al.,ANXA4,30
ANXA4,1455,Lauwaet T. et al.,GL50803_5649-t26_1,40
ANXA4,1456,Mayer et al. 2008,ANXA4,51
ANXA5,1457,Chen et al.,ANXA5,12
ANXA5,1458,Karsten Boldt et al.,ANXA5,16
ANXA5,1459,Mayer et al. 2009,ANXA5,19
ANXA5,1460,Ostrowski et al.,P08758,20
ANXA5,1461,Liu et al.,ANXA5,28
ANXA5,1462,McClintock et al.,ANXA5,29
ANXA5,1463,Mayer et al. 2008,ANXA5,51
ANXA5,1464,Blacque et al._xbox,C37H5.1,54
ANXA5,1465,Blacque et al._sage,C37H5.1,59
ANXA6,1466,Alexander E. Ivliev et al,ANXA6,8
ANXA6,1467,Mayer et al. 2009,ANXA6,19
ANXA6,1468,David U. Mick et al.,ANXA6,26
ANXA6,1469,Liu et al.,ANXA6,28
ANXA6,1470,Mayer et al. 2008,ANXA6,51
ANXA7,1471,Phirke et al.,ANXA7,3
ANXA7,1472,Mayer et al. 2009,ANXA7,19
ANXA7,1473,Ostrowski et al.,P20073,20
ANXA7,1474,David U. Mick et al.,ANXA7,26
ANXA7,1475,Liu et al.,ANXA7,28
ANXA7,1476,McClintock et al.,ANXA7,29
ANXA7,1477,Monika-Abedin-Sigg et al.,ANXA7,30
ANXA7,1478,Mayer et al. 2008,ANXA7,51
ANXA7,1479,May et al.,Anxa7,56
ANXA8,1480,Mayer et al. 2009,ANXA8,19
ANXA8,1481,Mayer et al. 2008,ANXA8,51
ANXA8,1482,Marshall et al.,Anxa8,55
ANXA8L1,1483,Mayer et al. 2008,ANXA8L1,51
ANXA8L1,1484,Marshall et al.,Anxa8,55
ANXA9,1485,Ross et al.,ANXA9,22
AOAH,1486,Hodges ME. et al.,IDA2,38
AOC2,1487,Gabrielle Wheway,AOC2,27
AOX1,1488,Mayer et al. 2009,AOX1,19
AOX1,1489,Ross et al.,AOX1,22
AOX1,1490,Marshall et al.,Aox1,55
AP001005.1,1491,Hannah Müller et al.,AP001005.1,6
AP002364.4,1492,Hannah Müller et al.,AP002364.4,6
AP1B1,1493,Liu et al.,AP1B1,28
AP1G1,1494,Liu et al.,AP1G1,28
AP1G2,1495,Gabrielle Wheway,AP1G2,27
AP1M1,1496,Gabrielle Wheway,AP1M1,27
AP1M1,1497,Liu et al.,AP1M1,28
AP1M1,1498,Nogales-Cadenas R. et al.,ENSG00000072958,46
AP1M2,1499,Gabrielle Wheway,AP1M2,27
AP2A1,1500,Karsten Boldt et al.,AP2A1,16
AP2A1,1501,David U. Mick et al.,AP2A1,26
AP2A1,1502,Liu et al.,AP2A1,28
AP2A2,1503,Karsten Boldt et al.,AP2A2,16
AP2A2,1504,Liu et al.,AP2A2,28
AP2A2,1505,Lauwaet T. et al.,GL50803_17304-t26_1,40
AP2B1,1506,Karsten Boldt et al.,AP2B1,16
AP2B1,1507,Ross et al.,AP2B1,22
AP2B1,1508,Liu et al.,AP2B1,28
AP2B1,1509,Monika-Abedin-Sigg et al.,AP2B1,30
AP2B1,1510,Lauwaet T. et al.,GL50803_21423-t26_1,40
AP2B1,1511,Geremek M. et al. 2014,AP2B1,42
AP2B1,1512,Ishikawa H. et al,AP2B1,48
AP2M1,1513,Karsten Boldt et al.,AP2M1,16
AP2M1,1514,Liu et al.,AP2M1,28
AP2S1,1515,Karsten Boldt et al.,AP2S1,16
AP2S1,1516,Liu et al.,AP2S1,28
AP3B1,1517,Karsten Boldt et al.,AP3B1,16
AP3B1,1518,Liu et al.,AP3B1,28
AP3B1,1519,Marshall et al.,Ap3b1,55
AP3B2,1520,Liu et al.,AP3B2,28
AP3D1,1521,Liu et al.,AP3D1,28
AP3M1,1522,Liu et al.,AP3M1,28
AP3M1,1523,McClintock et al.,AP3M1,29
AP3M1,1524,Blacque et al._xbox,F53H8.1,54
AP3M2,1525,Alexander E. Ivliev et al,AP3M2,8
AP3M2,1526,Bayesian (TJP van Dam et al.),AP3M2,11
AP3M2,1527,Cilia Carta (TJP van Dam et al.),AP3M2,13
AP3M2,1528,Liu et al.,AP3M2,28
AP3M2,1529,Marshall et al.,Ap3m2,55
AP3S1,1530,Ross et al.,AP3S1,22
AP3S2,1531,McClintock et al.,AP3S2,29
AP3S2,1532,Blacque et al._xbox,Y48G8AL.14,54
AP4B1,1533,Marshall et al.,Ap4b1,55
AP4M1,1534,Alexander E. Ivliev et al,AP4M1,8
AP4M1,1535,Geremek M. et al. 2014,AP4M1,42
AP4S1,1536,Alexander E. Ivliev et al,AP4S1,8
AP4S1,1537,Roosing et al.,AP4S1,57
AP5Z1,1538,Gabrielle Wheway,AP5Z1,27
APAF1,1539,Bechstedt et al.,APAF1,5
APBA1,1540,Ross et al.,APBA1,22
APBB1,1541,Alexander E. Ivliev et al,APBB1,8
APBB2,1542,Efimenko et al.,APBB2,2
APBB2,1543,Semil P. Choksi et al.,APBB2,23
APBB2,1544,McClintock et al.,APBB2,29
APC,1545,Hannah Müller et al.,APC,6
APC,1546,Alexander E. Ivliev et al,APC,8
APC,1547,Nogales-Cadenas R. et al.,ENSG00000134982,46
APC2,1548,Hannah Müller et al.,APC2,6
APC2,1549,McClintock et al.,APC2,29
APCDD1,1550,Ross et al.,APCDD1,22
APEH,1551,Efimenko et al.,APEH,2
APEH,1552,Li et al.,APEH,18
APEH,1553,Gabrielle Wheway,APEH,27
APEH,1554,McClintock et al.,APEH,29
APEH,1555,Monika-Abedin-Sigg et al.,APEH,30
APEX1,1556,Gabrielle Wheway,APEX1,27
APEX1,1557,Liu et al.,APEX1,28
APEX1,1558,McClintock et al.,APEX1,29
APEX1,1559,Nogales-Cadenas R. et al.,ENSG00000100823,46
APH1B,1560,Alexander E. Ivliev et al,APH1B,8
API5,1561,Liu et al.,API5,28
API5,1562,Marshall et al.,Api5,55
APIP,1563,Ross et al.,APIP,22
APLF,1564,Alexander E. Ivliev et al,APLF,8
APLNR,1565,Gabrielle Wheway,APLNR,27
APLP2,1566,Karsten Boldt et al.,APLP2,16
APMAP,1567,Karsten Boldt et al.,APMAP,16
APMAP,1568,Mayer et al. 2009,APMAP,19
APMAP,1569,Liu et al.,APMAP,28
APMAP,1570,Mayer et al. 2008,APMAP,51
APMAP,3393,SYSCILIA Gold Standard (van Dam TJ et al.),C20orf3,24
APOA1,1571,Liu et al.,APOA1,28
APOA4,1574,Nogales-Cadenas R. et al.,ENSG00000110244,46
APOA4,1575,Yano J. et al.,APOA4,50
APOA4,1576,Arnaiz O. et al.,GSPATT00027259001,53
APOB,1577,Efimenko et al.,APOB,2
APOB,1578,Semil P. Choksi et al.,APOB,23
APOB,1579,Monika-Abedin-Sigg et al.,APOB,30
APOBEC2,1580,Liu et al.,APOBEC2,28
APOBEC3C,1581,Alexander E. Ivliev et al,APOBEC3C,8
APOBEC4,1582,Alexander E. Ivliev et al,APOBEC4,8
APOBEC4,1583,Bayesian (TJP van Dam et al.),APOBEC4,11
APOBEC4,1584,Cilia Carta (TJP van Dam et al.),APOBEC4,13
APOBEC4,1585,Ross et al.,APOBEC4,22
APOBEC4,1586,Geremek M. et al. 2011,APOBEC4,41
APOBR,1587,Laurençon et al.,APOBR,7
APOBR,1588,Marshall et al.,Apobr,55
APOD,1589,Ross et al.,APOD,22
APOE,1590,Ross et al.,APOE,22
APOE,1591,Semil P. Choksi et al.,APOE,23
APOE,1592,Liu et al.,APOE,28
APOL3,1593,Efimenko et al.,APOL3,2
APOL3,1594,Ross et al.,APOL3,22
APOL6,1595,Nogales-Cadenas R. et al.,ENSG00000221963,46
APOLD1,1596,Semil P. Choksi et al.,APOLD1,23
APOM,1597,Gabrielle Wheway,APOM,27
APOO,1598,Alexander E. Ivliev et al,APOO,8
APOO,1599,Bayesian (TJP van Dam et al.),APOO,11
APOO,1600,Cilia Carta (TJP van Dam et al.),APOO,13
APOO,1601,Liu et al.,APOO,28
APOO,1602,Geremek M. et al. 2011,APOO,41
APOOL,1603,Liu et al.,APOOL,28
APOOL,1604,Monika-Abedin-Sigg et al.,APOOL,30
APPBP2,1606,Monika-Abedin-Sigg et al.,APPBP2,30
APPL1,1607,Karsten Boldt et al.,APPL1,16
APPL1,1608,Liu et al.,APPL1,28
APPL1,1609,Nogales-Cadenas R. et al.,ENSG00000157500,46
APPL1,1610,Marshall et al.,Appl1,55
APPL2,1611,Alexander E. Ivliev et al,APPL2,8
APPL2,1612,Liu et al.,APPL2,28
APRT,1613,Liu et al.,APRT,28
APRT,1614,McClintock et al.,APRT,29
APRT,1615,Monika-Abedin-Sigg et al.,APRT,30
APTX,1616,Alexander E. Ivliev et al,APTX,8
aq_1989,1617,Ostrowski et al.,O67796,20
AQP1,1618,Alexander E. Ivliev et al,AQP1,8
AQP1,1619,Mayer et al. 2009,AQP1,19
AQP1,1620,Liu et al.,AQP1,28
AQP10,1621,Blacque et al._xbox,F32A5.5a,54
AQP4,1622,Alexander E. Ivliev et al,AQP4,8
AQP4,1623,Ross et al.,AQP4,22
AQP4,1624,Gabrielle Wheway,AQP4,27
AQP4-AS1,1625,Alexander E. Ivliev et al,AQP4-AS1,8
AQP4-AS1,1626,Ross et al.,AQP4-AS1,22
AQP5,1627,Mayer et al. 2009,AQP5,19
AQP5,1628,Ross et al.,AQP5,22
AQP5,1629,SYSCILIA Gold Standard (van Dam TJ et al.),AQP5,24
AQP5,1630,Mayer et al. 2008,AQP5,51
AQR,1631,Phirke et al.,AQR,3
AQR,1632,Ross et al.,AQR,22
AQR,1633,Gabrielle Wheway,AQR,27
AQR,1634,McClintock et al.,AQR,29
AQR,1635,Monika-Abedin-Sigg et al.,AQR,30
AQR,1636,Blacque et al._sage,Y80D3A.2,59
AR,1637,Gabrielle Wheway,AR,27
AR13B,1638,David U. Mick et al.,AR13B,26
ARAF,1639,Karsten Boldt et al.,ARAF,16
ARAP1,1640,Phirke et al.,ARAP1,3
ARAP1,1641,Semil P. Choksi et al.,ARAP1,23
ARAP3,1642,McClintock et al.,ARAP3,29
ARC,1643,Marshall et al.,Arc,55
ARCN1,1644,Gabrielle Wheway,ARCN1,27
ARCN1,1645,Liu et al.,ARCN1,28
AREG,1646,Ross et al.,AREG,22
AREG,1647,Gabrielle Wheway,AREG,27
ARF1,1648,Pazour et al.,ARF1,21
ARF1,1649,Liu et al.,ARF1,28
ARF1,1650,Yano J. et al.,ARF1,50
ARF3,1651,Andersen et al.,ARF3,9
ARF3,1652,Andersen et al.,ARF3,9
ARF3,1653,Lauwaet T. et al.,GL50803_7789-t26_1,40
ARF4,1654,Cilia Carta (TJP van Dam et al.),ARF4,13
ARF4,1655,Semil P. Choksi et al.,ARF4,23
ARF4,1656,SYSCILIA Gold Standard (van Dam TJ et al.),ARF4,24
ARF4,1657,Liu et al.,ARF4,28
ARF4,1658,Monika-Abedin-Sigg et al.,ARF4,30
ARF4,1659,Ishikawa H. et al,ARF4,48
ARF5,1660,Liu et al.,ARF5,28
ARF6,1661,Liu et al.,ARF6,28
ARF6,1662,Monika-Abedin-Sigg et al.,ARF6,30
ARF6,1663,Ishikawa H. et al,ARF6,48
ARFGAP1,1664,Liu et al.,ARFGAP1,28
ARFGAP2,1665,Liu et al.,ARFGAP2,28
ARFGAP3,1666,Karsten Boldt et al.,ARFGAP3,16
ARFGAP3,1667,Gabrielle Wheway,ARFGAP3,27
ARFGAP3,1668,McClintock et al.,ARFGAP3,29
ARFGEF1,1669,Liu et al.,ARFGEF1,28
ARFGEF1,1670,Ishikawa H. et al,ARFGEF1,48
ARFGEF2,1671,Cilia Carta (TJP van Dam et al.),ARFGEF2,13
ARFGEF2,1672,GO CC Cilium,ARFGEF2,15
ARFGEF2,1673,Liu et al.,ARFGEF2,28
ARFGEF2,1674,Fritz-Laylin L.K. et Cande,ARFGEF2,49
ARFGEF3,1675,Chen et al.,ARFGEF3,12
ARFGEF3,15229,Lambacher N. et al.,KIAA1244,17
ARG2,1677,Ross et al.,ARG2,22
ARHGAP1,1678,Efimenko et al.,ARHGAP1,2
ARHGAP1,1679,Li et al.,ARHGAP1,18
ARHGAP1,1680,Gabrielle Wheway,ARHGAP1,27
ARHGAP1,1681,Liu et al.,ARHGAP1,28
ARHGAP1,1682,McClintock et al.,ARHGAP1,29
ARHGAP10,1683,Karsten Boldt et al.,ARHGAP10,16
ARHGAP11A,1684,Ramona A. Hoh et al.,ARHGAP11A,31
ARHGAP11A,1685,Marshall et al.,Arhgap11a,55
ARHGAP12,1686,McClintock et al.,ARHGAP12,29
ARHGAP18,1687,Alexander E. Ivliev et al,ARHGAP18,8
ARHGAP18,1688,Lambacher N. et al.,ARHGAP18,17
ARHGAP18,1689,Ross et al.,ARHGAP18,22
ARHGAP18,1690,May et al.,Arhgap18,56
ARHGAP19,1691,Karsten Boldt et al.,ARHGAP19,16
ARHGAP20,1692,Ross et al.,ARHGAP20,22
ARHGAP21,1693,Pazour et al.,ARHGAP21,21
ARHGAP21,1694,Gabrielle Wheway,ARHGAP21,27
ARHGAP23,1695,Ross et al.,ARHGAP23,22
ARHGAP24,1696,Liu et al.,ARHGAP24,28
ARHGAP24,1697,Geremek M. et al. 2014,ARHGAP24,42
ARHGAP24,1698,Marshall et al.,Arhgap24,55
ARHGAP26,1699,Karsten Boldt et al.,ARHGAP26,16
ARHGAP26,1700,Ross et al.,ARHGAP26,22
ARHGAP27,1701,Efimenko et al.,ARHGAP27,2
ARHGAP27P2,1702,Alexander E. Ivliev et al,ARHGAP27P2,8
ARHGAP29,1703,Ross et al.,ARHGAP29,22
ARHGAP29,1704,McClintock et al.,ARHGAP29,29
ARHGAP29,1705,Nogales-Cadenas R. et al.,ENSG00000137962,46
ARHGAP32,1706,Alexander E. Ivliev et al,ARHGAP32,8
ARHGAP33,1707,Gabrielle Wheway,ARHGAP33,27
ARHGAP33,1708,McClintock et al.,ARHGAP33,29
ARHGAP39,1709,Alexander E. Ivliev et al,ARHGAP39,8
ARHGAP39,1710,Ramona A. Hoh et al.,ARHGAP39,31
ARHGAP40,1711,Nogales-Cadenas R. et al.,ENSG00000124143,46
ARHGAP44,1712,Alexander E. Ivliev et al,ARHGAP44,8
ARHGAP44,1713,Karsten Boldt et al.,ARHGAP44,16
ARHGAP44,1714,Pazour et al.,ARHGAP44,21
ARHGAP44,1715,Ross et al.,ARHGAP44,22
ARHGAP5,1716,Liu et al.,ARHGAP5,28
ARHGAP5,1717,McClintock et al.,ARHGAP5,29
ARHGAP5,1718,Ishikawa H. et al,ARHGAP5,48
ARHGAP6,1719,Alexander E. Ivliev et al,ARHGAP6,8
ARHGAP8,1720,Ross et al.,ARHGAP8,22
ARHGDIA,1721,Karsten Boldt et al.,ARHGDIA,16
ARHGDIA,1722,Liu et al.,ARHGDIA,28
ARHGDIA,1723,Monika-Abedin-Sigg et al.,ARHGDIA,30
ARHGDIA,1724,Fritz-Laylin L.K. et Cande,ARHGDIA,49
ARHGDIB,1725,Andersen et al.,ARHGDIB,9
ARHGDIB,1726,Andersen et al.,ARHGDIB,9
ARHGDIB,1727,Kubo A. et al.,ARHGDIB,45
ARHGDIG,1728,Ramona A. Hoh et al.,ARHGDIG,31
ARHGEF10,1729,Nogales-Cadenas R. et al.,ENSG00000104728,46
ARHGEF11,1730,Liu et al.,ARHGEF11,28
ARHGEF11,1731,McClintock et al.,ARHGEF11,29
ARHGEF12,1732,Pazour et al.,ARHGEF12,21
ARHGEF15,1733,Gabrielle Wheway,ARHGEF15,27
ARHGEF16,1734,Ross et al.,ARHGEF16,22
ARHGEF18,1735,Semil P. Choksi et al.,ARHGEF18,23
ARHGEF18,1736,Blacque et al._xbox,Y105E8A.24a,54
ARHGEF19,1737,Laurençon et al.,ARHGEF19,7
ARHGEF2,1738,Liu et al.,ARHGEF2,28
ARHGEF26,1739,Alexander E. Ivliev et al,ARHGEF26,8
ARHGEF28,1740,Efimenko et al.,ARHGEF28,2
ARHGEF38,1741,Ramona A. Hoh et al.,ARHGEF38,31
ARHGEF4,1742,Alexander E. Ivliev et al,ARHGEF4,8
ARHGEF4,1743,Fritz-Laylin L.K. et Cande,ARHGEF4,49
ARHGEF5,1744,Efimenko et al.,ARHGEF5,2
ARHGEF5,1745,Phirke et al.,ARHGEF5,3
ARHGEF5,1746,Alexander E. Ivliev et al,ARHGEF5,8
ARHGEF6,1747,Alexander E. Ivliev et al,ARHGEF6,8
ARHGEF6,1748,Karsten Boldt et al.,ARHGEF6,16
ARHGEF7,1749,Liu et al.,ARHGEF7,28
ARHGI,1750,David U. Mick et al.,ARHGI,26
ARID1A,1751,McClintock et al.,ARID1A,29
ARID1B,1752,Blacque et al._sage,C01G8.9b,59
ARID2,1753,Roosing et al.,ARID2,57
ARID3A,1754,Karsten Boldt et al.,ARID3A,16
ARID3A,1755,Ross et al.,ARID3A,22
ARID3B,1756,Karsten Boldt et al.,ARID3B,16
ARID3B,1757,Ross et al.,ARID3B,22
ARID4A,1758,Avidor-Reiss et al.,ARID4A,4
ARID4A,1759,Marshall et al.,Arid4a,55
ARID4B,1760,McClintock et al.,ARID4B,29
ARIH1,1761,Gabrielle Wheway,ARIH1,27
ARIH2,1762,SYSCILIA Gold Standard (van Dam TJ et al.),ARIH2,24
ARIH2,1763,Blacque et al._xbox,T12E12.1,54
ARIH2,1764,Arnaiz O. et al.,GSPATT00036860001,53
ARL1,1765,Liu et al.,ARL1,28
ARL13B,1766,Efimenko et al.,ARL13B,2
ARL13B,1767,Alexander E. Ivliev et al,ARL13B,8
ARL13B,1768,Cilia Carta (TJP van Dam et al.),ARL13B,13
ARL13B,1769,GO CC Cilium,ARL13B,15
ARL13B,1770,Karsten Boldt et al.,ARL13B,16
ARL13B,1771,Lambacher N. et al.,ARL13B,17
ARL13B,1772,Ross et al.,ARL13B,22
ARL13B,1773,SYSCILIA Gold Standard (van Dam TJ et al.),ARL13B,24
ARL13B,1774,David K. Breslow et al.,ARL13B,25
ARL13B,1775,Liu et al.,ARL13B,28
ARL13B,1776,Monika-Abedin-Sigg et al.,ARL13B,30
ARL13B,1777,Broadhead et al.,ARL13B,32
ARL13B,1778,Ishikawa H. et al,ARL13B,48
ARL13B,1779,Fritz-Laylin L.K. et Cande,ARL13B,49
ARL13B,1780,Blacque et al._xbox,Y37E3.5,54
ARL13B,1781,May et al.,Arl13b,56
ARL13B,1782,Breslow et al.,Arl13b,58
ARL14EP,1783,Roosing et al.,ARL14EP,57
ARL15,1784,Laurençon et al.,ARL15,7
ARL15,1785,Karsten Boldt et al.,ARL15,16
ARL15,1786,Semil P. Choksi et al.,ARL15,23
ARL17A,1787,Gabrielle Wheway,ARL17A,27
ARL17A,1788,Liu et al.,ARL17A,28
ARL17A,1789,McClintock et al.,ARL17A,29
ARL17A,1790,Monika-Abedin-Sigg et al.,ARL17A,30
ARL17B,1791,Gabrielle Wheway,ARL17B,27
ARL17B,1792,Liu et al.,ARL17B,28
ARL17B,1793,McClintock et al.,ARL17B,29
ARL17B,1794,Monika-Abedin-Sigg et al.,ARL17B,30
ARL2,1795,Karsten Boldt et al.,ARL2,16
ARL2,1796,David U. Mick et al.,ARL2,26
ARL2,1797,McClintock et al.,ARL2,29
ARL2,1798,Monika-Abedin-Sigg et al.,ARL2,30
ARL2,1799,Nogales-Cadenas R. et al.,ENSG00000213465,46
ARL2,1800,Blacque et al._xbox,F22B5.1,54
ARL2BP,1801,Cilia Carta (TJP van Dam et al.),ARL2BP,13
ARL2BP,1802,Dey G et al.,ARL2BP,14
ARL2BP,1803,GO CC Cilium,ARL2BP,15
ARL2BP,1804,Karsten Boldt et al.,ARL2BP,16
ARL2BP,1805,Nogales-Cadenas R. et al.,ENSG00000102931,46
ARL3,1806,Efimenko et al.,ARL3,2
ARL3,1807,Phirke et al.,ARL3,3
ARL3,1808,Alexander E. Ivliev et al,ARL3,8
ARL3,1809,Chen et al.,ARL3,12
ARL3,1810,Cilia Carta (TJP van Dam et al.),ARL3,13
ARL3,1811,GO CC Cilium,ARL3,15
ARL3,1812,Karsten Boldt et al.,ARL3,16
ARL3,1813,Lambacher N. et al.,ARL3,17
ARL3,1814,Pazour et al.,ARL3,21
ARL3,1815,SYSCILIA Gold Standard (van Dam TJ et al.),ARL3,24
ARL3,1816,David U. Mick et al.,ARL3,26
ARL3,1817,Liu et al.,ARL3,28
ARL3,1818,McClintock et al.,ARL3,29
ARL3,1819,Monika-Abedin-Sigg et al.,ARL3,30
ARL3,1820,Geremek M. et al. 2011,ARL3,41
ARL3,1821,Nogales-Cadenas R. et al.,ENSG00000138175,46
ARL3,1822,Ishikawa H. et al,ARL3,48
ARL3,1823,Fritz-Laylin L.K. et Cande,ARL3,49
ARL3,1824,Marshall et al.,Arl3,55
ARL3,1825,Blacque et al._xbox,F19H8.3,54
ARL3,1826,May et al.,Arl3,56
ARL4A,1827,Marshall et al.,Arl4a,55
ARL4C,1828,Ross et al.,ARL4C,22
ARL6,1829,Phirke et al.,ARL6,3
ARL6,1830,Bechstedt et al.,ARL6,5
ARL6,1831,Alexander E. Ivliev et al,ARL6,8
ARL6,1832,Cilia Carta (TJP van Dam et al.),ARL6,13
ARL6,1833,GO CC Cilium,ARL6,15
ARL6,1834,Karsten Boldt et al.,ARL6,16
ARL6,1835,Lambacher N. et al.,ARL6,17
ARL6,1836,Pazour et al.,ARL6,21
ARL6,1837,Ross et al.,ARL6,22
ARL6,1838,SYSCILIA Gold Standard (van Dam TJ et al.),ARL6,24
ARL6,1839,David K. Breslow et al.,ARL6,25
ARL6,1840,David U. Mick et al.,ARL6,26
ARL6,1841,Liu et al.,ARL6,28
ARL6,1842,McClintock et al.,ARL6,29
ARL6,1843,Monika-Abedin-Sigg et al.,ARL6,30
ARL6,1844,Fritz-Laylin L.K. et Cande,ARL6,49
ARL6,1845,Yano J. et al.,ARL6,50
ARL6,1846,Marshall et al.,Arl6,55
ARL6,1847,Hodges ME. et al.,ARL6,38
ARL6,1848,Blacque et al._xbox,C38D4.8,54
ARL6,1849,Roosing et al.,ARL6,57
ARL6,1850,Breslow et al.,Arl6,58
ARL6IP1,1851,Semil P. Choksi et al.,ARL6IP1,23
ARL6IP4,1852,Gabrielle Wheway,ARL6IP4,27
ARL6IP5,1853,Karsten Boldt et al.,ARL6IP5,16
ARL6IP6,1854,Efimenko et al.,ARL6IP6,2
ARL6IP6,1855,Nogales-Cadenas R. et al.,ENSG00000177917,46
ARL6IP6,1856,Marshall et al.,Arl6ip6,55
ARL8A,1857,David U. Mick et al.,ARL8A,26
ARL8A,1858,Liu et al.,ARL8A,28
ARL8B,1859,Andersen et al.,NP_060654,9
ARL8B,1860,Karsten Boldt et al.,ARL8B,16
ARL8B,1861,Liu et al.,ARL8B,28
ARL9,1862,Semil P. Choksi et al.,ARL9,23
ARMC1,1863,Liu et al.,ARMC1,28
ARMC1,1864,Fritz-Laylin L.K. et Cande,ARMC1,49
ARMC10,1865,Alexander E. Ivliev et al,ARMC10,8
ARMC10,1866,Liu et al.,ARMC10,28
ARMC12,1867,Gabrielle Wheway,ARMC12,27
ARMC2,1868,Alexander E. Ivliev et al,ARMC2,8
ARMC2,1869,Dey G et al.,ARMC2,14
ARMC2,1870,Semil P. Choksi et al.,ARMC2,23
ARMC2,1871,Geremek M. et al. 2011,ARMC2,41
ARMC2,1872,Roosing et al.,ARMC2,57
ARMC3,1873,Alexander E. Ivliev et al,ARMC3,8
ARMC3,1874,Bayesian (TJP van Dam et al.),ARMC3,11
ARMC3,1875,Cilia Carta (TJP van Dam et al.),ARMC3,13
ARMC3,1876,Lambacher N. et al.,ARMC3,17
ARMC3,1877,Ross et al.,ARMC3,22
ARMC3,1878,McClintock et al.,ARMC3,29
ARMC3,1879,Monika-Abedin-Sigg et al.,ARMC3,30
ARMC3,1880,Ramona A. Hoh et al.,ARMC3,31
ARMC3,1881,Roosing et al.,ARMC3,57
Armc4,1882,Stubbs J.L. et al.,Armc4		,52
ARMC7,1898,Arnaiz O. et al.,GSPATT00017141001,53
ARMC8,1899,Alexander E. Ivliev et al,ARMC8,8
ARMC8,1900,Karsten Boldt et al.,ARMC8,16
ARMC9,1901,Alexander E. Ivliev et al,ARMC9,8
ARMC9,1902,Chen et al.,ARMC9,12
ARMC9,1903,Lambacher N. et al.,ARMC9,17
ARMC9,1904,David U. Mick et al.,ARMC9,26
ARMC9,1905,Arnaiz O. et al.,GSPATT00004615001,53
ARMC9,1906,May et al.,Armc9,56
ARMC9,1907,Roosing et al.,ARMC9,57
ARMCX1,1908,Alexander E. Ivliev et al,ARMCX1,8
ARMCX1,1909,Ross et al.,ARMCX1,22
ARMCX6,1910,Marshall et al.,Armcx6,55
ARMH1,1911,Alexander E. Ivliev et al,ARMH1,8
ARMH1,3353,Semil P. Choksi et al.,C1orf228,23
ARMH1,3354,Monika-Abedin-Sigg et al.,C1orf228,30
ARMH1,3355,Marshall et al.,Gm1661,55
ARMH3,3101,Gabrielle Wheway,C10orf76,27
ARMT1,1912,Blacque et al._xbox,F31D4.2,54
ARNT2,1913,Phirke et al.,ARNT2,3
ARNT2,1914,Ramona A. Hoh et al.,ARNT2,31
ARNT2,1915,Stubbs J.L. et al.,ARNT2		,52
ARNTL,1916,Karsten Boldt et al.,ARNTL,16
ARNTL,1917,Ross et al.,ARNTL,22
ARNTL2,1918,Ross et al.,ARNTL2,22
ARP3BETA,1919,Roosing et al.,ARP3BETA,57
ARPC1A,1920,Efimenko et al.,ARPC1A,2
ARPC1A,1921,Hannah Müller et al.,ARPC1A,6
ARPC1A,1922,Liu et al.,ARPC1A,28
ARPC1A,1923,McClintock et al.,ARPC1A,29
ARPC1A,1924,Monika-Abedin-Sigg et al.,ARPC1A,30
ARPC1A,1925,Fritz-Laylin L.K. et Cande,ARPC1A,49
ARPC1A,1926,Blacque et al._xbox,Y79H2A.6,54
ARPC1B,1927,Hannah Müller et al.,ARPC1B,6
ARPC1B,1928,Nogales-Cadenas R. et al.,ENSG00000130429,46
ARPC2,1929,Liu et al.,ARPC2,28
ARPC2,1930,Monika-Abedin-Sigg et al.,ARPC2,30
ARPC3,1931,Karsten Boldt et al.,ARPC3,16
ARPC3,1932,Liu et al.,ARPC3,28
ARPC3,1933,Monika-Abedin-Sigg et al.,ARPC3,30
ARPC3,1934,Ishikawa H. et al,ARPC3,48
ARPC4,1935,Karsten Boldt et al.,ARPC4,16
ARPC4,1936,Liu et al.,ARPC4,28
ARPC4,1937,Monika-Abedin-Sigg et al.,ARPC4,30
ARPC4,1938,Fritz-Laylin L.K. et Cande,ARPC4,49
ARPC4-TTLL3,1939,Semil P. Choksi et al.,ARPC4-TTLL3,23
ARPC5,1940,Laurençon et al.,ARPC5,7
ARPC5L,1941,Liu et al.,ARPC5L,28
ARPIN,1942,Alexander E. Ivliev et al,ARPIN,8
ARPP19,1943,May et al.,Arpp19,56
ARR3,1944,Cilia Carta (TJP van Dam et al.),ARR3,13
ARR3,1945,GO CC Cilium,ARR3,15
ARR3,1946,Liu et al.,ARR3,28
ARR3,1947,Nogales-Cadenas R. et al.,ENSG00000120500,46
ARRB1,1948,Alexander E. Ivliev et al,ARRB1,8
ARRB1,1949,Monika-Abedin-Sigg et al.,ARRB1,30
ARRB2,1950,Nogales-Cadenas R. et al.,ENSG00000141480,46
ARRDC1,1951,Phirke et al.,ARRDC1,3
ARRDC1,1952,Laurençon et al.,ARRDC1,7
ARRDC2,1953,Phirke et al.,ARRDC2,3
ARRDC2,1954,Monika-Abedin-Sigg et al.,ARRDC2,30
ARRDC2,1955,Blacque et al._xbox,Y17G7B.11,54
ARRDC2,1956,Blacque et al._xbox,Y17G7B.14,54
