Gene1ID	Gene1Symbol	Gene2Symbol	Gene1SpeciesName
WBGene00015680	egal-1	EXD1	Caenorhabditis elegans
ZDB-GENE-060825-267	exd1	EXD1	Danio rerio
FBgn0000562	egl	EXD1	Drosophila melanogaster
3045306	Exd1	EXD1	Mus musculus
1561009	Exd1	EXD1	Rattus norvegicus
ZDB-GENE-030131-6387	exd2	EXD2	Danio rerio
FBgn0037901	Exd2	EXD2	Drosophila melanogaster
1922485	Exd2	EXD2	Mus musculus
1311087	Exd2	EXD2	Rattus norvegicus
WBGene00014220	ZK1098.3	EXD3	Caenorhabditis elegans
WBGene00003504	mut-7	EXD3	Caenorhabditis elegans
ZDB-GENE-091204-349	exd3	EXD3	Danio rerio
FBgn0032924	Nbr	EXD3	Drosophila melanogaster
WBGene00009731	exo-1	EXO1	Caenorhabditis elegans
ZDB-GENE-040426-2828	exo1	EXO1	Danio rerio
FBgn0015553	tos	EXO1	Drosophila melanogaster
1349427	Exo1	EXO1	Mus musculus
S000005559	EXO1	EXO1	Saccharomyces cerevisiae
S000002671	DIN7	EXO1	Saccharomyces cerevisiae
1309465	Exo1	EXO1	Rattus norvegicus
ZDB-GENE-051113-108	exo5	EXO5	Danio rerio
1920422	Exo5	EXO5	Mus musculus
S000000367	EXO5	EXO5	Saccharomyces cerevisiae
1309802	Exo5	EXO5	Rattus norvegicus
WBGene00018703	sec-3	EXOC1	Caenorhabditis elegans
ZDB-GENE-030131-1057	exoc1	EXOC1	Danio rerio
FBgn0266669	Sec3	EXOC1	Drosophila melanogaster
2445020	Exoc1	EXOC1	Mus musculus
S000000810	SEC3	EXOC1	Saccharomyces cerevisiae
1304939	Exoc1	EXOC1	Rattus norvegicus
1591303	Exoc1l	EXOC1L	Rattus norvegicus
3647743	Gm7271	EXOC1L	Mus musculus
ZDB-GENE-061207-63	si:dkey-245p14.4	EXOC1L	Danio rerio
WBGene00004752	sec-5	EXOC2	Caenorhabditis elegans
ZDB-GENE-040426-1160	exoc2	EXOC2	Danio rerio
FBgn0266670	Sec5	EXOC2	Drosophila melanogaster
1913732	Exoc2	EXOC2	Mus musculus
S000002573	SEC5	EXOC2	Saccharomyces cerevisiae
619961	Exoc2	EXOC2	Rattus norvegicus
621790	Exoc3	EXOC3	Rattus norvegicus
WBGene00017284	sec-6	EXOC3	Caenorhabditis elegans
ZDB-GENE-030131-5947	exoc3	EXOC3	Danio rerio
FBgn0266671	Sec6	EXOC3	Drosophila melanogaster
2443972	Exoc3	EXOC3	Mus musculus
S000001330	SEC6	EXOC3	Saccharomyces cerevisiae
1311132	Exoc3l1	EXOC3L1	Rattus norvegicus
ZDB-GENE-061207-36	exoc3l1	EXOC3L1	Danio rerio
3041195	Exoc3l	EXOC3L1	Mus musculus
ZDB-GENE-100728-5	exoc3l2b	EXOC3L2	Danio rerio
1921713	Exoc3l2	EXOC3L2	Mus musculus
1592539	Exoc3l2	EXOC3L2	Rattus norvegicus
ZDB-GENE-081028-71	exoc3l4	EXOC3L4	Danio rerio
1921363	Exoc3l4	EXOC3L4	Mus musculus
1307749	Exoc3l4	EXOC3L4	Rattus norvegicus
WBGene00004753	sec-8	EXOC4	Caenorhabditis elegans
ZDB-GENE-041210-112	exoc4	EXOC4	Danio rerio
FBgn0266672	Sec8	EXOC4	Drosophila melanogaster
1096376	Exoc4	EXOC4	Mus musculus
S000006259	SEC8	EXOC4	Saccharomyces cerevisiae
621791	Exoc4	EXOC4	Rattus norvegicus
WBGene00016376	sec-10	EXOC5	Caenorhabditis elegans
ZDB-GENE-080204-126	exoc5	EXOC5	Danio rerio
FBgn0266673	Sec10	EXOC5	Drosophila melanogaster
2145645	Exoc5	EXOC5	Mus musculus
S000004156	SEC10	EXOC5	Saccharomyces cerevisiae
708408	Exoc5	EXOC5	Rattus norvegicus
3653	Exoc6	EXOC6	Rattus norvegicus
S000003202	SEC15	EXOC6	Saccharomyces cerevisiae
WBGene00016188	sec-15	EXOC6	Caenorhabditis elegans
ZDB-GENE-040426-2511	exoc6	EXOC6	Danio rerio
FBgn0266674	Sec15	EXOC6	Drosophila melanogaster
1351611	Exoc6	EXOC6	Mus musculus
1560638	Exoc6b	EXOC6B	Rattus norvegicus
S000003202	SEC15	EXOC6B	Saccharomyces cerevisiae
1923164	Exoc6b	EXOC6B	Mus musculus
FBgn0266674	Sec15	EXOC6B	Drosophila melanogaster
ZDB-GENE-060929-132	exoc6b	EXOC6B	Danio rerio
WBGene00016188	sec-15	EXOC6B	Caenorhabditis elegans
6491410	LOC100911734	EXOC7	Rattus norvegicus
WBGene00016606	exoc-7	EXOC7	Caenorhabditis elegans
ZDB-GENE-040426-2752	exoc7	EXOC7	Danio rerio
FBgn0266667	Exo70	EXOC7	Drosophila melanogaster
1859270	Exoc7	EXOC7	Mus musculus
S000003621	EXO70	EXOC7	Saccharomyces cerevisiae
WBGene00013687	exoc-8	EXOC8	Caenorhabditis elegans
ZDB-GENE-070410-60	exoc8	EXOC8	Danio rerio
FBgn0266668	Exo84	EXOC8	Drosophila melanogaster
2142527	Exoc8	EXOC8	Mus musculus
S000000306	EXO84	EXOC8	Saccharomyces cerevisiae
620245	Exoc8	EXOC8	Rattus norvegicus
1304628	Exog	EXOG	Rattus norvegicus
2143333	Exog	EXOG	Mus musculus
WBGene00012966	exos-1	EXOSC1	Caenorhabditis elegans
ZDB-GENE-080926-3	exosc1	EXOSC1	Danio rerio
FBgn0032346	Csl4	EXOSC1	Drosophila melanogaster
1913833	Exosc1	EXOSC1	Mus musculus
S000005176	CSL4	EXOSC1	Saccharomyces cerevisiae
1591855	Exosc1	EXOSC1	Rattus norvegicus
1593248	Exosc10	EXOSC10	Rattus norvegicus
WBGene00000796	crn-3	EXOSC10	Caenorhabditis elegans
ZDB-GENE-040426-781	exosc10	EXOSC10	Danio rerio
FBgn0038269	Rrp6	EXOSC10	Drosophila melanogaster
1355322	Exosc10	EXOSC10	Mus musculus
S000005527	RRP6	EXOSC10	Saccharomyces cerevisiae
1306573	Exosc2	EXOSC2	Rattus norvegicus
S000001111	RRP4	EXOSC2	Saccharomyces cerevisiae
2385133	Exosc2	EXOSC2	Mus musculus
FBgn0034879	Rrp4	EXOSC2	Drosophila melanogaster
ZDB-GENE-050417-27	exosc2	EXOSC2	Danio rerio
WBGene00022232	exos-2	EXOSC2	Caenorhabditis elegans
1304739	Exosc3	EXOSC3	Rattus norvegicus
S000005502	RRP40	EXOSC3	Saccharomyces cerevisiae
1913612	Exosc3	EXOSC3	Mus musculus
FBgn0260648	Rrp40	EXOSC3	Drosophila melanogaster
ZDB-GENE-050706-140	exosc3	EXOSC3	Danio rerio
WBGene00010325	exos-3	EXOSC3	Caenorhabditis elegans
1310986	Exosc4	EXOSC4	Rattus norvegicus
S000003427	SKI6	EXOSC4	Saccharomyces cerevisiae
1923576	Exosc4	EXOSC4	Mus musculus
WBGene00007201	exos-4.1	EXOSC4	Caenorhabditis elegans
ZDB-GENE-040426-1702	exosc4	EXOSC4	Danio rerio
FBgn0032487	Ski6	EXOSC4	Drosophila melanogaster
1307861	Exosc5	EXOSC5	Rattus norvegicus
S000003327	RRP46	EXOSC5	Saccharomyces cerevisiae
107889	Exosc5	EXOSC5	Mus musculus
FBgn0037815	Rrp46	EXOSC5	Drosophila melanogaster
WBGene00000798	crn-5	EXOSC5	Caenorhabditis elegans
ZDB-GENE-060503-675	exosc5	EXOSC5	Danio rerio
1309832	Exosc6	EXOSC6	Rattus norvegicus
S000003390	MTR3	EXOSC6	Saccharomyces cerevisiae
1919794	Exosc6	EXOSC6	Mus musculus
WBGene00000202	exos-4.2	EXOSC6	Caenorhabditis elegans
ZDB-GENE-050522-362	exosc6	EXOSC6	Danio rerio
FBgn0036916	Mtr3	EXOSC6	Drosophila melanogaster
1309758	Exosc7	EXOSC7	Rattus norvegicus
S000002269	RRP42	EXOSC7	Saccharomyces cerevisiae
WBGene00009289	exos-7	EXOSC7	Caenorhabditis elegans
ZDB-GENE-050417-47	exosc7	EXOSC7	Danio rerio
FBgn0034065	Rrp42	EXOSC7	Drosophila melanogaster
1913696	Exosc7	EXOSC7	Mus musculus
1306169	Exosc8	EXOSC8	Rattus norvegicus
S000000631	RRP43	EXOSC8	Saccharomyces cerevisiae
1916889	Exosc8	EXOSC8	Mus musculus
ZDB-GENE-030131-1736	exosc8	EXOSC8	Danio rerio
WBGene00018305	exos-8	EXOSC8	Caenorhabditis elegans
1307888	Exosc9	EXOSC9	Rattus norvegicus
S000002688	RRP45	EXOSC9	Saccharomyces cerevisiae
1355319	Exosc9	EXOSC9	Mus musculus
FBgn0030789	Rrp45	EXOSC9	Drosophila melanogaster
ZDB-GENE-041010-180	exosc9	EXOSC9	Danio rerio
WBGene00018154	exos-9	EXOSC9	Caenorhabditis elegans
2443248	Exph5	EXPH5	Mus musculus
1560308	Exph5	EXPH5	Rattus norvegicus
1587375	Ext1	EXT1	Rattus norvegicus
894663	Ext1	EXT1	Mus musculus
FBgn0265974	ttv	EXT1	Drosophila melanogaster
ZDB-GENE-050211-4	ext1b	EXT1	Danio rerio
WBGene00004360	rib-1	EXT1	Caenorhabditis elegans
1307707	Ext2	EXT2	Rattus norvegicus
108050	Ext2	EXT2	Mus musculus
FBgn0029175	sotv	EXT2	Drosophila melanogaster
ZDB-GENE-041124-3	ext2	EXT2	Danio rerio
WBGene00004360	rib-1	EXTL1	Caenorhabditis elegans
ZDB-GENE-050211-5	ext1c	EXTL1	Danio rerio
1888742	Extl1	EXTL1	Mus musculus
1309572	Extl1	EXTL1	Rattus norvegicus
ZDB-GENE-060929-1122	extl2	EXTL2	Danio rerio
1889574	Extl2	EXTL2	Mus musculus
1307684	Extl2	EXTL2	Rattus norvegicus
62065	Extl3	EXTL3	Rattus norvegicus
1860765	Extl3	EXTL3	Mus musculus
FBgn0027535	botv	EXTL3	Drosophila melanogaster
ZDB-GENE-041124-2	extl3	EXTL3	Danio rerio
WBGene00004361	rib-2	EXTL3	Caenorhabditis elegans
1584849	Eya1	EYA1	Rattus norvegicus
109344	Eya1	EYA1	Mus musculus
ZDB-GENE-990712-18	eya1	EYA1	Danio rerio
WBGene00001377	eya-1	EYA2	Caenorhabditis elegans
ZDB-GENE-040912-24	eya2	EYA2	Danio rerio
FBgn0000320	eya	EYA2	Drosophila melanogaster
109341	Eya2	EYA2	Mus musculus
620096	Eya2	EYA2	Rattus norvegicus
ZDB-GENE-060503-864	eya3	EYA3	Danio rerio
109339	Eya3	EYA3	Mus musculus
1309932	Eya3	EYA3	Rattus norvegicus
1307099	Eya4	EYA4	Rattus norvegicus
1337104	Eya4	EYA4	Mus musculus
FBgn0000320	eya	EYA4	Drosophila melanogaster
ZDB-GENE-050327-93	eya4	EYA4	Danio rerio
WBGene00001377	eya-1	EYA4	Caenorhabditis elegans
FBgn0031414	eys	EYS	Drosophila melanogaster
ZDB-GENE-130530-959	eys	EYS	Danio rerio
1305028	Ezh1	EZH1	Rattus norvegicus
1097695	Ezh1	EZH1	Mus musculus
ZDB-GENE-050114-1	ezh1	EZH1	Danio rerio
WBGene00003220	mes-2	EZH1	Caenorhabditis elegans
1595860	Ezh2	EZH2	Rattus norvegicus
107940	Ezh2	EZH2	Mus musculus
FBgn0000629	E(z)	EZH2	Drosophila melanogaster
ZDB-GENE-041111-259	ezh2	EZH2	Danio rerio
WBGene00003220	mes-2	EZH2	Caenorhabditis elegans
2147968	Ezhip	EZHIP	Mus musculus
7681336	Ezhip	EZHIP	Rattus norvegicus
621161	Ezr	EZR	Rattus norvegicus
98931	Ezr	EZR	Mus musculus
FBgn0011661	Moe	EZR	Drosophila melanogaster
ZDB-GENE-050803-1	ezrb	EZR	Danio rerio
WBGene00001333	erm-1	EZR	Caenorhabditis elegans
61850	F10	F10	Rattus norvegicus
103107	F10	F10	Mus musculus
ZDB-GENE-021206-9	f10	F10	Danio rerio
1309364	F11	F11	Rattus norvegicus
99481	F11	F11	Mus musculus
621842	F11r	F11R	Rattus norvegicus
1321398	F11r	F11R	Mus musculus
WBGene00020800	zig-10	F11R	Caenorhabditis elegans
ZDB-GENE-060531-67	f11r.2	F11R	Danio rerio
1359175	F12	F12	Rattus norvegicus
1891012	F12	F12	Mus musculus
621495	F13a1	F13A1	Rattus norvegicus
1921395	F13a1	F13A1	Mus musculus
ZDB-GENE-060929-1250	f13a1a.1	F13A1	Danio rerio
1311668	F13b	F13B	Rattus norvegicus
88379	F13b	F13B	Mus musculus
ZDB-GENE-050208-342	cfhl1	F13B	Danio rerio
ZDB-GENE-050208-423	cfhl3	F13B	Danio rerio
ZDB-GENE-041114-123	cfhl2	F13B	Danio rerio
61996	F2	F2	Rattus norvegicus
88380	F2	F2	Mus musculus
ZDB-GENE-030131-4606	f2	F2	Danio rerio
2586	F2r	F2R	Rattus norvegicus
101802	F2r	F2R	Mus musculus
WBGene00016570	gnrr-4	F2R	Caenorhabditis elegans
ZDB-GENE-060526-30	f2r	F2R	Danio rerio
620866	F2rl1	F2RL1	Rattus norvegicus
101910	F2rl1	F2RL1	Mus musculus
ZDB-GENE-070615-24	f2rl1.2	F2RL1	Danio rerio
ZDB-GENE-061215-140	f2rl1.1	F2RL1	Danio rerio
WBGene00016570	gnrr-4	F2RL1	Caenorhabditis elegans
1298208	F2rl2	F2RL2	Mus musculus
620871	F2rl2	F2RL2	Rattus norvegicus
WBGene00016570	gnrr-4	F2RL3	Caenorhabditis elegans
ZDB-GENE-130530-869	si:ch211-132p1.2	F2RL3	Danio rerio
1298207	F2rl3	F2RL3	Mus musculus
620872	F2rl3	F2RL3	Rattus norvegicus
2587	F3	F3	Rattus norvegicus
88381	F3	F3	Mus musculus
ZDB-GENE-071119-5	f3a	F3	Danio rerio
ZDB-GENE-050417-234	f3b	F3	Danio rerio
1589758	F5	F5	Rattus norvegicus
88382	F5	F5	Mus musculus
ZDB-GENE-030131-5531	f5	F5	Danio rerio
628678	F7	F7	Rattus norvegicus
109325	F7	F7	Mus musculus
ZDB-GENE-070424-102	f7l	F7	Danio rerio
727845	F8	F8	Rattus norvegicus
88383	F8	F8	Mus musculus
ZDB-GENE-090629-2	f8	F8	Danio rerio
ZDB-GENE-041010-181	zgc:101679	F8A3	Danio rerio
FBgn0030671	CG8134	F8A3	Drosophila melanogaster
95474	F8a	F8A3	Mus musculus
1566014	F8a1	F8A3	Rattus norvegicus
2589	F9	F9	Rattus norvegicus
88384	F9	F9	Mus musculus
ZDB-GENE-060421-7346	f9b	F9	Danio rerio
1310347	Fa2h	FA2H	Rattus norvegicus
S000004885	SCS7	FA2H	Saccharomyces cerevisiae
2443327	Fa2h	FA2H	Mus musculus
FBgn0050502	fa2h	FA2H	Drosophila melanogaster
ZDB-GENE-031219-4	fa2h	FA2H	Danio rerio
WBGene00007707	fath-1	FA2H	Caenorhabditis elegans
61808	Faah	FAAH	Rattus norvegicus
S000002650	AMD2	FAAH	Saccharomyces cerevisiae
109609	Faah	FAAH	Mus musculus
FBgn0037547	CG7910	FAAH	Drosophila melanogaster
FBgn0037548	CG7900	FAAH	Drosophila melanogaster
WBGene00015047	faah-1	FAAH	Caenorhabditis elegans
WBGene00015048	faah-2	FAAH	Caenorhabditis elegans
WBGene00013164	Y53F4B.18	FAAH2	Caenorhabditis elegans
ZDB-GENE-040718-453	faah2a	FAAH2	Danio rerio
FBgn0033717	CG8839	FAAH2	Drosophila melanogaster
ZDB-GENE-130603-100	faap100	FAAP100	Danio rerio
1919135	Faap100	FAAP100	Mus musculus
1306926	Faap100	FAAP100	Rattus norvegicus
1914763	Faap20	FAAP20	Mus musculus
1308923	Faap20	FAAP20	Rattus norvegicus
ZDB-GENE-070410-53	faap24	FAAP24	Danio rerio
2142208	Faap24	FAAP24	Mus musculus
1564719	Faap24	FAAP24	Rattus norvegicus
2590	Fabp1	FABP1	Rattus norvegicus
95479	Fabp1	FABP1	Mus musculus
ZDB-GENE-020318-3	fabp1a	FABP1	Danio rerio
1565000	Fabp12	FABP12	Rattus norvegicus
1922747	Fabp12	FABP12	Mus musculus
ZDB-GENE-040912-132	fabp4a	FABP12	Danio rerio
ZDB-GENE-050522-391	fabp4b	FABP12	Danio rerio
WBGene00002259	lbp-7	FABP12	Caenorhabditis elegans
WBGene00002260	lbp-8	FABP12	Caenorhabditis elegans
2591	Fabp2	FABP2	Rattus norvegicus
95478	Fabp2	FABP2	Mus musculus
ZDB-GENE-991019-5	fabp2	FABP2	Danio rerio
69048	Fabp3	FABP3	Rattus norvegicus
95476	Fabp3	FABP3	Mus musculus
FBgn0037913	fabp	FABP3	Drosophila melanogaster
ZDB-GENE-020318-2	fabp3	FABP3	Danio rerio
WBGene00002258	lbp-6	FABP3	Caenorhabditis elegans
WBGene00002259	lbp-7	FABP3	Caenorhabditis elegans
WBGene00002257	lbp-5	FABP3	Caenorhabditis elegans
WBGene00002260	lbp-8	FABP3	Caenorhabditis elegans
69309	Fabp4	FABP4	Rattus norvegicus
88038	Fabp4	FABP4	Mus musculus
FBgn0037913	fabp	FABP4	Drosophila melanogaster
ZDB-GENE-040912-132	fabp4a	FABP4	Danio rerio
ZDB-GENE-050522-391	fabp4b	FABP4	Danio rerio
WBGene00021486	lbp-9	FABP4	Caenorhabditis elegans
70997	Fabp5	FABP5	Rattus norvegicus
101790	Fabp5	FABP5	Mus musculus
ZDB-GENE-050522-391	fabp4b	FABP5	Danio rerio
ZDB-GENE-040912-132	fabp4a	FABP5	Danio rerio
2592	Fabp6	FABP6	Rattus norvegicus
96565	Fabp6	FABP6	Mus musculus
ZDB-GENE-040625-49	fabp6	FABP6	Danio rerio
69312	Fabp7	FABP7	Rattus norvegicus
101916	Fabp7	FABP7	Mus musculus
ZDB-GENE-000627-1	fabp7a	FABP7	Danio rerio
WBGene00002257	lbp-5	FABP7	Caenorhabditis elegans
WBGene00002259	lbp-7	FABP7	Caenorhabditis elegans
WBGene00002258	lbp-6	FABP7	Caenorhabditis elegans
WBGene00002260	lbp-8	FABP7	Caenorhabditis elegans
620285	Fabp9	FABP9	Rattus norvegicus
1194881	Fabp9	FABP9	Mus musculus
ZDB-GENE-040912-132	fabp4a	FABP9	Danio rerio
ZDB-GENE-050522-391	fabp4b	FABP9	Danio rerio
WBGene00002259	lbp-7	FABP9	Caenorhabditis elegans
WBGene00002260	lbp-8	FABP9	Caenorhabditis elegans
628700	Fadd	FADD	Rattus norvegicus
109324	Fadd	FADD	Mus musculus
FBgn0038928	Fadd	FADD	Drosophila melanogaster
ZDB-GENE-070606-3	fadd	FADD	Danio rerio
621678	Fads1	FADS1	Rattus norvegicus
1923517	Fads1	FADS1	Mus musculus
WBGene00001395	fat-3	FADS1	Caenorhabditis elegans
FBgn0000406	Cyt-b5-r	FADS1	Drosophila melanogaster
FBgn0032603	CG17928	FADS1	Drosophila melanogaster
68339	Fads2	FADS2	Rattus norvegicus
1930079	Fads2	FADS2	Mus musculus
FBgn0000406	Cyt-b5-r	FADS2	Drosophila melanogaster
FBgn0032603	CG17928	FADS2	Drosophila melanogaster
WBGene00001395	fat-3	FADS2	Caenorhabditis elegans
ZDB-GENE-011212-1	fads2	FADS2	Danio rerio
2687041	Fads2b	FADS2B	Mus musculus
1311224	Fads2b	FADS2B	Rattus norvegicus
628876	Fads3	FADS3	Rattus norvegicus
1928740	Fads3	FADS3	Mus musculus
FBgn0032603	CG17928	FADS3	Drosophila melanogaster
FBgn0000406	Cyt-b5-r	FADS3	Drosophila melanogaster
ZDB-GENE-141009-1	fads6	FADS6	Danio rerio
3039592	Fads6	FADS6	Mus musculus
1311950	Fads6	FADS6	Rattus norvegicus
70987	Faf1	FAF1	Rattus norvegicus
109419	Faf1	FAF1	Mus musculus
WBGene00018586	ubxn-3	FAF1	Caenorhabditis elegans
ZDB-GENE-040426-2863	faf1	FAF1	Danio rerio
FBgn0034068	casp	FAF1	Drosophila melanogaster
1306577	Faf2	FAF2	Rattus norvegicus
S000002249	UBX3	FAF2	Saccharomyces cerevisiae
1923827	Faf2	FAF2	Mus musculus
FBgn0025608	Faf2	FAF2	Drosophila melanogaster
WBGene00010433	H40L08.1	FAF2	Caenorhabditis elegans
ZDB-GENE-050208-312	faf2	FAF2	Danio rerio
61932	Fah	FAH	Rattus norvegicus
95482	Fah	FAH	Mus musculus
FBgn0016013	Faa	FAH	Drosophila melanogaster
ZDB-GENE-030131-1091	fah	FAH	Danio rerio
WBGene00019620	fah-1	FAH	Caenorhabditis elegans
1304560	Fahd1	FAHD1	Rattus norvegicus
S000005112	FMP41	FAHD1	Saccharomyces cerevisiae
1915886	Fahd1	FAHD1	Mus musculus
WBGene00022798	fahd-1	FAHD1	Caenorhabditis elegans
ZDB-GENE-050522-448	fahd1	FAHD1	Danio rerio
FBgn0038858	CG5793	FAHD1	Drosophila melanogaster
1563674	Fahd2a	FAHD2A	Rattus norvegicus
ZDB-GENE-040426-2499	fahd2a	FAHD2A	Danio rerio
FBgn0038924	CG6028	FAHD2A	Drosophila melanogaster
1915376	Fahd2a	FAHD2A	Mus musculus
1563674	Fahd2a	FAHD2B	Rattus norvegicus
ZDB-GENE-040426-2499	fahd2a	FAHD2B	Danio rerio
WBGene00016633	C44B11.1	FAIM	Caenorhabditis elegans
ZDB-GENE-040718-323	faima	FAIM	Danio rerio
FBgn0033985	CG10257	FAIM	Drosophila melanogaster
1344387	Faim	FAIM	Mus musculus
628744	Faim2	FAIM2	Rattus norvegicus
1919643	Faim2	FAIM2	Mus musculus
ZDB-GENE-120426-3	faim2b	FAIM2	Danio rerio
WBGene00006470	tag-120	FAIM2	Caenorhabditis elegans
1597535	Fam102a	FAM102A	Rattus norvegicus
WBGene00006368	sym-3	FAM102A	Caenorhabditis elegans
ZDB-GENE-060929-412	fam102ab	FAM102A	Danio rerio
FBgn0032938	CG8671	FAM102A	Drosophila melanogaster
2138935	Fam102a	FAM102A	Mus musculus
S000000182	YBL086C	FAM102A	Saccharomyces cerevisiae
1310037	Fam102b	FAM102B	Rattus norvegicus
S000000182	YBL086C	FAM102B	Saccharomyces cerevisiae
WBGene00006368	sym-3	FAM102B	Caenorhabditis elegans
ZDB-GENE-041014-330	fam102bb	FAM102B	Danio rerio
FBgn0032938	CG8671	FAM102B	Drosophila melanogaster
3036259	Fam102b	FAM102B	Mus musculus
ZDB-GENE-130603-45	si:dkey-21c1.1	FAM104A	Danio rerio
106351	Fam104a	FAM104A	Mus musculus
1563409	Fam104a	FAM104A	Rattus norvegicus
2323310	Fam104b	FAM104B	Rattus norvegicus
1306327	Fam107a	FAM107A	Rattus norvegicus
ZDB-GENE-141216-56	si:ch211-236d3.4	FAM107A	Danio rerio
3041256	Fam107a	FAM107A	Mus musculus
1561482	Fam107b	FAM107B	Rattus norvegicus
ZDB-GENE-031030-12	fam107b	FAM107B	Danio rerio
FBgn0032886	CG9328	FAM107B	Drosophila melanogaster
1913790	Fam107b	FAM107B	Mus musculus
ZDB-GENE-030521-6	fam110a	FAM110A	Danio rerio
FBgn0035477	CG14982	FAM110A	Drosophila melanogaster
1921097	Fam110a	FAM110A	Mus musculus
1308904	Fam110a	FAM110A	Rattus norvegicus
ZDB-GENE-050626-70	fam110b	FAM110B	Danio rerio
FBgn0035477	CG14982	FAM110B	Drosophila melanogaster
1916593	Fam110b	FAM110B	Mus musculus
1563403	Fam110b	FAM110B	Rattus norvegicus
FBgn0035477	CG14982	FAM110C	Drosophila melanogaster
1918813	Fam110c	FAM110C	Mus musculus
1564713	Fam110c	FAM110C	Rattus norvegicus
1564994	Fam110d	FAM110D	Rattus norvegicus
1919940	Fam110d	FAM110D	Mus musculus
ZDB-GENE-060503-190	si:ch211-107n13.1	FAM110D	Danio rerio
1560913	Fam111a	FAM111A	Rattus norvegicus
1915508	Fam111a	FAM111A	Mus musculus
ZDB-GENE-141216-92	fam111.2	FAM111A	Danio rerio
ZDB-GENE-070410-52	fam114a1	FAM114A1	Danio rerio
FBgn0038360	CG9590	FAM114A1	Drosophila melanogaster
1915553	Fam114a1	FAM114A1	Mus musculus
1560201	Fam114a1	FAM114A1	Rattus norvegicus
ZDB-GENE-030131-6308	fam114a2	FAM114A2	Danio rerio
FBgn0038360	CG9590	FAM114A2	Drosophila melanogaster
1917629	Fam114a2	FAM114A2	Mus musculus
1305362	Fam114a2	FAM114A2	Rattus norvegicus
1561062	Fam117a	FAM117A	Rattus norvegicus
2144564	Fam117a	FAM117A	Mus musculus
ZDB-GENE-110606-4	fam117aa	FAM117A	Danio rerio
ZDB-GENE-070912-554	fam117bb	FAM117B	Danio rerio
1920000	Fam117b	FAM117B	Mus musculus
1307676	Fam117b	FAM117B	Rattus norvegicus
1920475	Fam118a	FAM118A	Mus musculus
1560783	Fam118a	FAM118A	Rattus norvegicus
ZDB-GENE-060810-6	fam118b	FAM118B	Danio rerio
1924483	Fam118b	FAM118B	Mus musculus
1307173	Fam118b	FAM118B	Rattus norvegicus
ZDB-GENE-110131-10	fam120a	FAM120A	Danio rerio
2446163	Fam120a	FAM120A	Mus musculus
1306643	Fam120a	FAM120A	Rattus norvegicus
1310304	Fam120b	FAM120B	Rattus norvegicus
WBGene00009362	F33E2.6	FAM120B	Caenorhabditis elegans
ZDB-GENE-040801-119	fam120b	FAM120B	Danio rerio
1914794	Fam120b	FAM120B	Mus musculus
ZDB-GENE-090313-228	fam120c	FAM120C	Danio rerio
2387687	Fam120c	FAM120C	Mus musculus
1564253	FAM120C	FAM120C	Rattus norvegicus
3645930	Fam124a	FAM124A	Mus musculus
1593344	Fam124a	FAM124A	Rattus norvegicus
3026880	Fam124b	FAM124B	Mus musculus
9095683	NEWGENE_1589866	FAM124B	Rattus norvegicus
1562906	Fam126a	FAM126A	Rattus norvegicus
2149839	Fam126a	FAM126A	Mus musculus
FBgn0034269	Hyccin	FAM126A	Drosophila melanogaster
ZDB-GENE-040426-1806	fam126a	FAM126A	Danio rerio
WBGene00017037	D1069.3	FAM126A	Caenorhabditis elegans
WBGene00017037	D1069.3	FAM126B	Caenorhabditis elegans
ZDB-GENE-061215-98	zgc:158316	FAM126B	Danio rerio
FBgn0034269	Hyccin	FAM126B	Drosophila melanogaster
1098784	Fam126b	FAM126B	Mus musculus
1309752	Fam126b	FAM126B	Rattus norvegicus
2322069	Fam131a	FAM131A	Rattus norvegicus
1925658	Fam131a	FAM131A	Mus musculus
ZDB-GENE-080204-112	fam131a	FAM131A	Danio rerio
ZDB-GENE-060503-616	fam131ba	FAM131B	Danio rerio
1923406	Fam131b	FAM131B	Mus musculus
1560653	Fam131b	FAM131B	Rattus norvegicus
ZDB-GENE-050706-119	fam131c	FAM131C	Danio rerio
2685539	Fam131c	FAM131C	Mus musculus
1590955	Fam131c	FAM131C	Rattus norvegicus
ZDB-GENE-060503-229	fam133b	FAM133B	Danio rerio
1915402	Fam133b	FAM133B	Mus musculus
1306302	Fam133b	FAM133B	Rattus norvegicus
1304927	Fam135a	FAM135A	Rattus norvegicus
WBGene00015635	C09D4.4	FAM135A	Caenorhabditis elegans
ZDB-GENE-080130-1	fam135a	FAM135A	Danio rerio
FBgn0052333	CG32333	FAM135A	Drosophila melanogaster
1915437	Fam135a	FAM135A	Mus musculus
S000005585	LPL1	FAM135A	Saccharomyces cerevisiae
1308133	Fam135b	FAM135B	Rattus norvegicus
S000005585	LPL1	FAM135B	Saccharomyces cerevisiae
WBGene00015635	C09D4.4	FAM135B	Caenorhabditis elegans
ZDB-GENE-140106-172	fam135b	FAM135B	Danio rerio
FBgn0052333	CG32333	FAM135B	Drosophila melanogaster
1917613	Fam135b	FAM135B	Mus musculus
WBGene00014022	ZK637.2	FAM136A	Caenorhabditis elegans
ZDB-GENE-040426-2729	fam136a	FAM136A	Danio rerio
FBgn0034362	CG5323	FAM136A	Drosophila melanogaster
1913738	Fam136a	FAM136A	Mus musculus
