Human_gene_name,Gene_name,tree
DUOXA1,doxa-1,16
DUOXA2,doxa-1,16
DUS1L,F36A2.2,13
DUS2,Y54E5A.6,17
DUS3L,Y37E11B.5,19
DUS4L,C45G9.2,9
DUSP11,F54C8.4,1
DUSP11,pir-1,11
DUSP12,C24F3.2,9
DUSP14,C04F12.8,4
DUSP14,F13D11.3,9
DUSP14,ZK757.2,7
DUSP16,vhp-1,1
DUSP19,Y54F10BM.13,9
DUSP21,F26A3.4,1
DUSP22,C16A3.2,9
DUSP28,C04F12.8,4
DUSP6,lip-1,7
DUSP7,lip-1,7
DUSP8,vhp-1,1
DUSP9,lip-1,7
DUT,dut-1,17
DVL1,dsh-1,10
DVL2,dsh-2,17
DVL2,mig-5,19
DXO,dom-3,9
DXO,eol-1,9
DYM,C47D12.2,19
DYNC1H1,dhc-1,1
DYNC1I1,dyci-1,10
DYNC1I2,dyci-1,10
DYNC1LI1,dli-1,10
DYNC1LI2,dli-1,10
DYNC2H1,che-3,6
DYNC2LI1,xbx-1,5
DYNLL1,dlc-3,9
DYNLL1,dlc-4,9
DYNLL1,dlc-5,9
DYNLL2,dlc-1,1
DYNLL2,dlc-2,9
DYNLRB1,dyrb-1,15
DYNLRB2,dyrb-1,15
DYNLT1,dylt-1,17
DYNLT1,dylt-3,9
DYNLT3,dylt-1,17
DYRK1A,mbk-1,1
DYRK1B,mbk-1,1
DYRK2,F39F10.2,9
DYRK2,mbk-2,1
DYRK3,C36B7.1,9
DYRK3,C36B7.2,9
DYRK3,mbk-2,1
DYSF,fer-1,9
DYSF,ferl-1,9
DYTN,dys-1,1
E2F1,efl-1,14
E2F2,efl-1,14
E2F3,efl-2,14
E2F4,efl-1,14
E2F7,efl-3,17
E2F8,efl-3,17
E5RI56,skr-1,1
E7ENQ6,Y18D10A.3,9
E7EQ34,memb-1,9
E7EQL1,Y73F8A.27,11
E7ESA3,dylt-2,9
E7EVH7,klc-2,1
E9PCH4,pxf-1,1
E9PI62,Y67D2.4,9
EAF1,eaf-1,11
EAF2,eaf-1,11
EAPP,F48E8.2,14
EARS2,ears-2,10
EBF1,unc-3,5
EBF2,unc-3,5
EBF3,unc-3,5
EBF4,unc-3,5
EBNA1BP2,C18A3.3,1
ECE1,nep-1,9
ECE1,nep-10,9
ECE1,nep-11,4
ECE1,nep-12,8
ECE1,nep-18,9
ECE1,nep-22,20
ECE1,nep-25,9
ECE1,nep-26,4
ECE1,nep-5,9
ECE1,nep-7,9
ECE1,nep-9,9
ECE2,nep-13,9
ECE2,nep-17,9
ECE2,nep-19,9
ECE2,nep-21,2
ECH1,F58A6.1,20
ECH1,Y25C1A.13,9
ECHDC1,C32E8.9,9
ECHDC2,ech-5,11
ECHDC3,ech-2,11
ECHS1,ech-3,9
ECHS1,ech-6,13
ECHS1,ech-7,20
ECI2,B0272.4,20
ECI2,ech-4,20
ECPAS,D2045.2,10
ECPAS,H04D03.3,9
ECSIT,Y17G9B.5,12
ECT2,ect-2,17
EDC4,Y44E3A.6,1
EDEM1,C47E12.3,16
EDEM2,F10C2.5,13
EDEM3,ZC506.1,1
EDF1,mbf-1,10
EEA1,eea-1,1
EED,mes-6,17
EEF1A2,eef-1A.1,1
EEF1A2,eef-1A.2,1
EEF1AKMT1,M142.8,9
EEF1AKMT2,F29B9.1,5
EEF1AKMT3,C42C1.13,9
EEF1AKMT4,C17E4.11,9
EEF1AKMT4-ECE2,nep-23,9
EEF1B2,eef-1B.1,1
EEF1D,eef-1B.2,1
EEF1G,eef-1G,1
EEF2,eef-2,1
EEF2K,efk-1,1
EEF2KMT,R08D7.4,14
EEFSEC,efsc-1,11
EFCAB7,T02G5.3,5
EFEMP1,fbl-1,9
EFHC1,Y49A10A.1,9
EFHD1,efhd-1,6
EFHD2,efhd-1,6
EFL1,K10C3.5,1
EFNA1,efn-4,9
EFNB2,efn-2,16
EFNB2,efn-3,9
EFNB2,vab-2,6
EFNB3,efn-2,16
EFR3A,C32D5.3,1
EFTUD2,eftu-2,1
EGFEM1P,ced-1,1
EGFLAM,T19D12.6,2
EGFLAM,unc-52,1
EGLN1,egl-9,1
EGLN2,egl-9,1
EGLN3,egl-9,1
EGR1,egrh-1,6
EGR1,egrh-2,9
EGR1,egrh-3,13
EGR1,klu-2,6
EGR2,egrh-1,6
EGR3,egrh-1,6
EGR4,egrh-1,6
EHBP1,ehbp-1,1
EHD1,rme-1,1
EHD2,rme-1,1
EHD3,rme-1,1
EHD4,rme-1,1
EHHADH,ech-8,20
EHHADH,ech-9,20
EHMT1,set-15,3
EHMT1,set-21,9
EHMT1,set-32,9
EHMT1,set-6,10
EHMT2,set-11,7
EHMT2,set-25,14
EHMT2,set-8,9
EI24,epg-4,11
EID3,H21P03.2,11
EIF1,eif-1,1
EIF1AD,ZK856.11,11
EIF1AY,eif-1.A,1
EIF1B,eif-1,1
EIF2A,E04D5.1,1
EIF2AK1,pek-1,1
EIF2AK3,pek-1,1
EIF2AK3,Y38E10A.8,9
EIF2AK4,gcn-2,1
EIF2B1,ZK1098.4,9
EIF2B2,Y47H9C.7,11
EIF2B4,F11A3.2,14
EIF2B5,D2085.3,13
EIF2D,C25H3.4,17
EIF2S1,Y37E3.10,1
EIF2S3,Y39G10AR.8,1
EIF3A,egl-45,1
EIF3B,eif-3.B,1
EIF3C,eif-3.C,1
EIF3CL,eif-3.C,1
EIF3D,eif-3.D,1
EIF3E,eif-3.E,14
EIF3F,eif-3.F,1
EIF3G,eif-3.G,1
EIF3H,eif-3.H,13
EIF3I,eif-3.I,14
EIF3K,eif-3.K,1
EIF3L,C03H5.5,9
EIF3L,C17G10.9,1
EIF3M,cif-1,1
EIF4A1,F57B9.3,9
EIF4A1,inf-1,1
EIF4A2,inf-1,1
EIF4A3,F33D11.10,10
EIF4A3,Y65B4A.6,15
EIF4E,ife-1,14
EIF4E,ife-2,1
EIF4E,ife-3,17
EIF4E,ife-5,9
EIF4E1B,ife-3,17
EIF4E2,ife-4,9
EIF4ENIF1,ifet-1,1
EIF4G1,ifg-1,1
EIF4G3,ifg-1,1
EIF4H,drr-2,1
EIF5,C37C3.2,1
EIF5A,iff-1,9
EIF5A,iff-2,1
EIF5B,iffb-1,1
EIF6,eif-6,19
EIPR1,eipr-1,1
ELAC2,hoe-1,10
ELAVL4,exc-7,16
ELF1,elf-1,1
ELF2,elf-1,1
ELF4,elf-1,1
ELK1,ets-8,9
ELK1,lin-1,16
ELK3,lin-1,16
ELK4,lin-1,16
ELL,ell-1,1
ELMO1,ced-12,1
ELMO2,ced-12,1
ELMO3,ced-12,1
ELMOD3,C56G7.3,5
MIDEAS,saeg-1,1
ELOA,R03D7.4,1
ELOA2,R03D7.4,1
ELOA3,R03D7.4,1
ELOA3B,R03D7.4,1
ELOA3C,R03D7.4,1
ELOA3D,R03D7.4,1
ELOB,elb-1,15
ELOC,elc-1,9
ELOC,elc-2,5
ELOC,F54F7.10,9
ELOF1,Y54G11A.11,14
ELOVL3,elo-1,13
ELOVL3,elo-2,19
ELOVL3,elo-3,4
ELOVL3,elo-4,9
ELOVL3,elo-5,20
ELOVL3,elo-6,20
ELOVL3,elo-7,9
ELOVL6,elo-3,4
ELOVL6,elo-9,8
ELP1,elpc-1,10
ELP2,elpc-2,13
ELP3,elpc-3,19
ELP4,elpc-4,11
EMC1,emc-1,1
EMC10,Y43F8C.7,10
EMC2,emc-2,10
EMC3,emc-3,1
EMC4,perm-3,2
EMC6,emc-6,17
EMC7,C35D10.1,1
EMC8,F25H2.4,11
EMC9,F25H2.4,11
EMG1,Y39A1A.14,11
EML1,elp-1,20
EML2,elp-1,20
EMX1,ceh-2,9
EMX2,ceh-2,9
EN1,ceh-16,9
EN2,ceh-16,9
ENAH,unc-34,1
ENDOG,cps-6,14
ENDOU,K02A11.3,19
ENDOU,M60.2,20
ENGASE,eng-1,8
ENO1,enol-1,1
ENO2,enol-1,1
ENO3,enol-1,1
ENO4,enol-1,1
ENOPH1,F58H1.3,9
ENPP1,C27A7.1,5
ENPP1,C27A7.3,9
ENPP2,C27A7.1,5
ENPP4,C01B10.9,10
ENPP6,F13H10.5,9
ENPP6,T03G6.3,7
ENTHD1,epn-1,1
ENTPD4,mig-23,13
ENTPD5,uda-1,3
ENTPD6,uda-1,3
ENTPD7,mig-23,13
ENTPD7,ntp-1,17
EOGT,H12D21.10,5
EP300,C29F9.5,9
EP300,C29F9.6,9
EP300,cbp-1,1
EP300,sepa-1,9
EPAS1,hif-1,1
EPB41L1,frm-1,1
EPB41L3,frm-1,1
EPB41L4B,frm-2,3
EPB41L5,frm-2,3
EPC1,epc-1,1
EPC2,epc-1,1
EPG5,epg-5,10
EPHA1,vab-1,2
EPHA10,vab-1,2
EPHA2,vab-1,2
EPHA3,vab-1,2
EPHA4,vab-1,2
EPHA5,vab-1,2
EPHA6,vab-1,2
EPHA7,vab-1,2
EPHA8,vab-1,2
EPHB1,vab-1,2
EPHB2,vab-1,2
EPHB3,vab-1,2
EPHB4,vab-1,2
EPHB6,vab-1,2
EPHX1,C45B11.6,8
EPHX1,W01A11.1,11
EPHX4,ceeh-1,12
EPHX4,ceeh-2,20
EPN1,epn-1,1
EPN2,epn-1,1
EPN3,epn-1,1
EPRS1,ears-1,1
EPRS1,pars-1,1
EPS15,ehs-1,1
EPS15L1,ehs-1,1
EPS8,eps-8,3
EPS8L1,eps-8,3
EPS8L2,eps-8,3
EPS8L3,eps-8,3
EPX,F09F3.5,9
EPX,K10B4.1,9
ERAL1,E02H1.2,11
ERAP2,F49B2.6,8
ERAP2,R03G8.4,9
ERAP2,Y67D8C.9,4
ERAS,let-60,1
ERBB3,let-23,6
ERBB4,nipi-4,12
ERC1,elks-1,10
ERC2,elks-1,10
ERCC1,ercc-1,14
ERCC2,xpd-1,13
ERCC3,xpb-1,14
ERCC4,xpf-1,13
ERCC5,gen-1,10
ERCC5,xpg-1,13
ERCC6,csb-1,17
ERCC6,F53H4.6,18
ERG,F19F10.1,9
ERGIC1,Y102A11A.6,8
ERGIC2,C18B12.6,17
ERGIC3,erv-46,10
ERH,F35G12.11,9
ERH,T21C9.4,11
ERI1,crn-4,9
ERI1,eri-1,14
ERI3,M02B7.2,9
ERI3,R02D3.8,9
ERLEC1,Y105E8A.2,1
ERLIN1,erl-1,11
ERLIN2,erl-1,11
ERMP1,B0495.7,1
ERMP1,C44B7.11,9
ERN1,ire-1,1
ERN2,ire-1,1
ERO1A,ero-1,1
ERO1B,ero-1,1
ERP44,C06A6.5,16
ERP44,C30H7.2,10
ERP44,F42G8.7,9
ESCO2,F08F8.4,9
ESD,Y48G10A.1,11
ESF1,F58B3.4,1
ESPL1,ZK430.5,9
ESPN,ZK792.4,8
ESR1,nhr-169,9
ESR1,nhr-47,3
ESR1,nhr-86,10
ESR2,nhr-131,18
ESR2,nhr-186,5
ESR2,nhr-196,9
ESRP1,sym-2,1
ESRP2,sym-2,1
ESRRA,dpr-1,9
ESRRA,nhr-109,20
ESRRA,nhr-120,8
ESRRA,nhr-145,9
ESRRA,nhr-155,9
ESRRA,nhr-245,9
ESRRA,nhr-264,9
ESRRA,nhr-267,9
ESRRA,nhr-286,9
ESRRA,nhr-72,9
ESRRA,nhr-74,9
ESRRA,nhr-9,9
ESRRB,nhr-121,20
ESRRB,nhr-146,8
ESRRB,nhr-182,8
ESRRB,nhr-210,20
ESRRB,nhr-226,9
ESRRB,nhr-255,9
ESRRG,nhr-108,9
ESRRG,nhr-11,5
ESRRG,nhr-113,9
ESRRG,nhr-143,8
ESRRG,nhr-153,20
ESRRG,nhr-16,9
ESRRG,nhr-164,9
ESRRG,nhr-165,9
ESRRG,nhr-174,9
ESRRG,nhr-176,9
ESRRG,nhr-198,9
ESRRG,nhr-209,9
ESRRG,nhr-217,9
ESRRG,nhr-42,3
ESRRG,nhr-53,9
ESRRG,nhr-77,9
ESRRG,nhr-78,8
ESRRG,nhr-89,9
ESS2,ess-2,11
ESYT1,esyt-2,1
ESYT2,esyt-2,1
ESYT3,esyt-2,1
ETF1,erfa-1,10
ETFA,F27D4.1,1
ETFB,F23C8.5,1
ETFBKMT,C37A2.6,9
ETFDH,let-721,1
ETFRF1,Y42A5A.5,9
ETHE1,ethe-1,9
ETNK1,ckc-1,20
ETNK2,ckc-1,20
ETNPPL,T01B11.2,20
ETV1,ets-7,9
ETV2,ets-9,20
EVA1C,eva-1,7
EVI5,eat-17,3
EVI5L,eat-17,3
EVL,unc-34,1
EVPL,vab-10,1
EVX1,vab-7,9
EVX2,vab-7,9
EWSR1,fust-1,1
EXD1,egal-1,1
EXD3,mut-7,11
EXD3,Y57A10A.13,14
EXD3,ZK1098.3,17
EXO1,exo-1,9
EXOC1,sec-3,14
EXOC2,sec-5,10
EXOC3,sec-6,1
EXOC3L1,sec-6,1
EXOC3L4,sec-6,1
EXOC4,sec-8,14
EXOC5,sec-10,19
EXOC6,sec-15,10
EXOC6B,sec-15,10
EXOC7,exoc-7,17
EXOC8,exoc-8,1
EXOSC1,exos-1,11
EXOSC10,crn-3,10
EXOSC2,exos-2,11
EXOSC3,exos-3,9
EXOSC4,exos-4.1,13
EXOSC4,exos-4.2,9
EXOSC5,crn-5,9
EXOSC7,exos-7,17
EXOSC8,exos-8,11
EXOSC9,exos-9,19
EXT1,rib-1,19
EXTL1,rib-1,19
EXTL2,rib-2,17
EXTL3,rib-2,17
EYA1,eya-1,9
EYA2,eya-1,9
EYA3,eya-1,9
EYA4,eya-1,9
EZH1,mes-2,17
EZH2,mes-2,17
EZR,erm-1,1
F2,try-5,9
F2Z2F3,B0228.7,4
F5H5P2,Y39E4A.3,1
F6UZH7,tmbi-4,1
F6X3S4,acn-1,12
FA2H,C25A1.5,3
FAAH,faah-1,8
FAAH,faah-2,9
FAAH,faah-3,9
FAAH,faah-4,1
FAAH,faah-5,9
FAAH,faah-6,9
FAAH2,Y53F4B.18,13
FABP3,lbp-6,20
FABP3,lbp-7,18
FABP3,lbp-8,9
FABP4,lbp-1,9
FABP4,lbp-5,20
FABP4,lbp-9,1
FABP5,lbp-4,11
FADS1,fat-3,3
FADS2,fat-3,3
FADS2B,fat-4,10
FADS3,fat-3,3
FAF1,ubc-23,20
FAF1,ubxn-3,13
FAF2,H40L08.1,3
FAH,fah-1,12
FAHD1,fahd-1,9
FAIM,C44B11.1,9
FAIM2,xbx-6,1
FAM102A,sym-3,8
FAM102B,sym-3,8
FAM120B,F33E2.6,9
FAM126A,D1069.3,19
FAM126B,D1069.3,19
FAM135A,C09D4.4,14
FAM135B,C09D4.4,14
FAM136A,ZK637.2,19
FAM13A,rga-3,9
FAM151A,mnr-1,16
FAM151B,mnr-1,16
FAM160A1,C05D11.8,10
FAM160A2,C05D11.8,10
FAM161B,Y38H6C.14,7
FAM172A,Y75B8A.31,11
FAM172BP,Y75B8A.31,11
ANTKMT,Y39A1A.21,19
ATPSCKMT,Y39A1A.21,19
FAM184A,tag-278,9
PSME3IP1,C25A1.1,9
ABITRAM,F54F2.7,9
FAM20A,H03A11.1,3
FAM20C,H03A11.1,3
FAM210A,Y56A3A.22,14
FAM32A,K01G5.8,19
FAM3A,M70.4,13
FAM3B,M70.4,13
FAM3C,M70.4,13
FAM3D,M70.4,13
FAM43A,F52D10.2,6
FAM43B,F52D10.2,6
CYRIA,R07G3.8,6
CYRIB,R07G3.8,6
FAM50A,C47E8.4,10
FAM50B,C47E8.4,10
DIPK1A,C53D5.1,13
DIPK1B,C53D5.1,13
DIPK1C,C53D5.1,13
FAM76A,K04F10.7,19
FAM76B,K04F10.7,19
FAM8A1,F48B9.8,17
FAM91A1,F33H2.2,11
FAM98A,tag-322,11
FAM98B,tag-322,11
FAM98C,tag-322,11
FAN1,fan-1,11
FANCI,fnci-1,1
FAP,dpf-2,16
FAR1,fard-1,20
FARP1,frm-3,4
FARP2,frm-3,4
FARS2,fars-2,1
FARSA,fars-1,1
FARSB,fars-3,1
FASN,C41A3.1,5
FASN,F32H2.6,9
FASN,fasn-1,3
FAT1,cdh-4,10
FAT1,hmr-1,1
FAT1,Y46G5A.29,18
FAT4,cdh-5,8
FAT4,cdh-7,18
FAT4,cdh-8,12
FAXC,C25H3.7,10
FAXC,cdr-1,9
FAXC,cdr-2,18
FAXC,cdr-3,9
FAXC,cdr-4,16
FAXC,cdr-6,1
FAXC,cdr-7,9
FAXC,F53G12.9,9
FAXC,hrg-2,9
FAXC,Y48C3A.3,9
FAXC,Y57A10A.26,9
FAXDC2,drd-1,9
FAXDC2,F49E12.10,9
FBF1,dyf-19,5
FBL,fib-1,1
FBLIM1,zyx-1,4
FBLL1,fib-1,1
FBLN1,fbl-1,9
FBLN2,fbl-1,9
FBLN7,fbl-1,9
FBP1,fbp-1,1
FBP2,fbp-1,1
FBXL13,T01E8.1,9
FBXL2,B0564.6,9
FBXL2,B0564.9,9
FBXL20,EEED8.10,1
FBXL20,fbxl-1,10
FBXL20,T28B4.1,9
FBXO11,BE0003N10.3,18
FBXO11,dre-1,1
FBXO25,mfb-1,2
FBXO27,C14B1.3,6
FBXO30,C10E2.2,9
FBXO32,mfb-1,2
FBXO40,C10E2.2,9
FBXO42,Y50D7A.1,13
FBXO44,C14B1.3,6
FBXO45,fsn-1,6
FBXO47,F54D5.9,9
FBXO6,C14B1.3,6
FBXW11,lin-23,1
FBXW7,sel-10,10
FBXW9,mec-15,6
FCER2,clec-1,18
FCF1,F30A10.9,10
FCGBP,T01D3.6,20
FCGBP,vit-2,9
FCGBP,vit-3,9
FCHO1,fcho-1,14
FCHO2,fcho-1,14
FCN3,T15B7.1,20
FDPS,fdps-1,14
FDX2,Y73F8A.27,11
FDXR,Y62E10A.6,17
FEM1A,fem-1,17
FEM1C,fem-1,17
FEN1,crn-1,17
FER,C18H7.4,9
FER,C25A8.5,9
FER,C35E7.10,9
FER,C55C3.4,9
FER,F26E4.5,9
FER,F57B9.8,9
FER,F59A3.8,9
FER,frk-1,9
FER,K09B11.5,9
FER,kin-14,2
FER,kin-21,9
FER,kin-26,9
FER,kin-5,9
FER,kin-6,9
FER,M176.9,9
FER,R11E3.1,9
FER,T06C10.3,9
FER,T21G5.1,9
FER,T25B9.4,9
FER,Y43C5B.2,9
FER,ZK622.1,9
FER1L4,fer-1,9
FER1L6,fer-1,9
FERMT1,unc-112,1
FERMT2,unc-112,1
FERMT3,unc-112,1
FES,F23C8.7,9
FES,kin-24,9
FES,R05H5.4,9
FES,spe-8,9
FES,Y116A8C.24,9
FES,Y116A8C.38,9
FES,ZC581.7,9
FEV,ets-5,9
FEZ1,unc-76,10
FEZ2,unc-76,10
FEZF1,fezf-1,9
FEZF2,fezf-1,9
FGD2,exc-5,4
FGD2,tag-52,12
FGD5,exc-5,4
FGD6,exc-5,4
FGD6,tag-77,1
FGF1,let-756,15
FGF10,let-756,15
FGF11,let-756,15
FGF12,let-756,15
FGF13,let-756,15
FGF14,let-756,15
FGF16,let-756,15
FGF18,egl-17,9
FGF2,let-756,15
FGF20,let-756,15
FGF21,let-756,15
FGF22,let-756,15
FGF3,let-756,15
FGF4,let-756,15
FGF5,let-756,15
FGF6,let-756,15
FGF7,let-756,15
FGF9,let-756,15
FGFR1,egl-15,18
FGFR1,kin-30,9
FGFR1,R151.1,9
FGFR1,Y38H6C.20,9
FGFR2,B0252.1,5
FGFR2,egl-15,18
FGFR2,F09G2.1,20
FGFR2,F59F5.3,9
FGFR2,kin-16,18
FGFR2,Y50D4B.6,9
FGFR3,C24G6.2,16
FGFR3,egl-15,18
FGFR3,kin-15,18
FGFR3,old-1,9
FGFR3,old-2,9
FGFR3,R09D1.12,9
FGFR4,egl-15,18
FGFR4,kin-23,9
FGFR4,kin-9,8
FGFR4,W04G5.10,9
FGFRL1,igcm-4,7
FH,fum-1,1
FHDC1,exc-6,8
FHL1,Y65B4A.7,9
FHL2,lim-9,1
FHOD3,fhod-1,1
FIBCD1,ensh-1,11
FICD,fic-1,4
FIG4,C34B7.2,1
FIGN,figl-1,14
FIGNL1,figl-1,14
FIGNL2,figl-1,14
FILIP1,C49H3.6,10
FILIP1L,C49H3.6,10
FIP1L1,fipp-1,19
FIS1,fis-1,9
FIS1,fis-2,15
FITM1,fitm-2,11
FITM2,fitm-2,11
FKBP14,fkb-7,12
FKBP1A,fkb-2,1
FKBP1A,fkb-8,15
FKBP1B,fkb-2,1
FKBP1C,fkb-2,1
FKBP2,fkb-1,1
FKBP2,fkb-4,18
FKBP4,fkb-6,10
FKBP9,fkb-3,12
FKBP9,fkb-5,19
FKTN,T07A5.1,9
FKTN,T07D3.4,20
FKTN,W02B3.4,9
FKTN,Y22D7AL.11,9
FLAD1,flad-1,17
FLCN,flcn-1,1
FLI1,ast-1,7
FLII,fli-1,1
FLNA,fln-1,1
FLNA,fln-2,1
FLNB,fln-1,1
FLNC,fln-1,1
FLT1,ver-1,9
FLT1,ver-3,14
FLT1,ver-4,20
FLT4,T01G5.1,18
FLVCR1,C09D4.1,9
FLVCR2,C09D4.1,9
FMC1,C29E4.12,11
FMNL1,frl-1,14
FMNL2,fozi-1,20
FMNL2,frl-1,14
FMNL3,frl-1,14
FMO2,C01H6.4,20
FMO5,fmo-1,20
FMO5,fmo-2,9
FMO5,fmo-3,18
FMO5,fmo-4,12
FMO5,fmo-5,3
FMO6P,C46H11.2,9
FN3K,Y116A8C.25,6
FN3KRP,Y116A8C.25,6
FNBP1,toca-1,1
FNBP1,toca-2,9
FNDC3B,C34F6.10,3
FNIP1,T04C4.1,1
FNTA,fnta-1,15
FNTB,fntb-1,11
FOLH1,gcp-2.1,20
FOLH1,gcp-2.3,9
FOLH1B,gcp-2.1,20
FOS,fos-1,1
FOSL2,fos-1,1
FOXA1,pha-4,8
FOXB1,fkh-10,5
FOXB1,lin-31,9
FOXB2,lin-31,9
FOXC1,fkh-3,9
FOXC1,fkh-4,9
FOXD4,unc-130,9
FOXF1,let-381,9
FOXG1,fkh-2,9
FOXG1,fkh-9,1
FOXI1,fkh-6,9
FOXI2,pes-1,9
FOXJ3,fkh-8,5
FOXN4,fkh-5,9
FOXO1,daf-16,1
FOXO3,daf-16,1
FOXO4,daf-16,1
FOXO6,daf-16,1
FOXP1,fkh-7,1
FOXP2,fkh-7,1
FOXP3,fkh-7,1
FOXP4,fkh-7,1
FOXRED1,M04B2.4,17
FPGS,F25B5.6,19
FPGT,K03H1.13,9
FRA10AC1,C08H9.16,9
FRG1,frg-1,11
FRK,src-2,16
FRK,W03A5.1,9
FRK,Y47G6A.5,20
FRMD1,frm-7,16
FRMD4A,F07C6.4,1
FRMD4B,F07C6.4,1
FRMD5,frm-4,10
FRMD6,frm-7,16
FRMD7,frm-3,4
FRMD8,frm-10,1
FRMD8P1,frm-10,1
FRMPD2,frm-5.2,9
FRMPD4,frm-8,4
FRRS1,C05D12.1,12
FRRS1,C13B4.1,8
FRRS1,M03A1.3,9
FRRS1,M03A1.8,9
FRRS1,Y57G11A.4,12
FRS3,rog-1,9
FRY,sax-2,1
FRYL,sax-2,1
FSD1,madd-2,2
FSD1L,madd-2,2
FSD2,madd-2,2
FSHR,fshr-1,9
FTH1,ftn-1,9
FTH1,ftn-2,20
FTSJ1,R74.7,11
FTSJ3,H06I04.3,1
FUBP1,ZK418.9,10
FUBP3,C12D8.1,10
FUBP3,C36E6.1,10
FUBP3,M01A10.1,9
FUCA1,W03G11.3,9
FUCA2,W03G11.3,9
FCSK,C26D10.4,9
FURIN,kpc-1,4
FUT1,B0205.4,9
FUT1,C17A2.4,9
FUT1,F08A8.5,9
FUT1,T26E4.3,9
FUT1,T26E4.4,9
FUT1,T26H5.8,9
FUT2,B0205.4,9
FUT2,C06E1.7,9
FUT2,F11A5.5,9
FUT2,F31F4.11,9
FUT2,Y5H2B.1,9
FUT5,fut-1,11
FUT5,fut-3,10
FUT6,fut-6,9
FUT7,fut-4,9
FUT7,fut-5,9
FUT8,fut-8,4
FXN,frh-1,9
FYN,src-1,1
FZD1,mom-5,14
FZD10,lin-17,2
FZD4,mig-1,4
FZD5,cfz-2,9
FZD8,cfz-2,9
FZR1,fzr-1,1
G3BP1,gtbp-1,1
G3V3Q6,T22C1.1,14
G3V3Y1,M106.3,14
G3V4G9,ZK1058.3,9
G6PD,gspd-1,14
GABARAP,lgg-1,1
GABARAPL1,lgg-1,1
GABARAPL3,lgg-1,1
GABBR1,gbb-1,4
GABBR2,gbb-2,4
GABRA6,lgc-36,9
GABRB1,gab-1,9
GABRB1,lgc-35,11
GABRB1,lgc-39,7
GABRB1,lgc-43,12
GABRB1,lgc-46,7
GABRB1,unc-49,4
GABRB2,gab-1,9
GABRB3,acc-3,9
GABRB3,exp-1,9
GABRB3,gab-1,9
GABRB3,mod-1,9
GABRD,gab-1,9
GABRG2,lgc-37,9
GABRQ,gab-1,9
GABRR1,acc-1,9
GABRR1,gab-1,9
GABRR2,gab-1,9
GABRR2,lgc-47,7
GABRR2,lgc-49,9
GABRR2,lgc-52,9
GABRR2,lgc-54,9
GABRR2,lgc-55,7
GABRR3,gab-1,9
GABRR3,lgc-48,9
GAD1,unc-25,6
GAD2,unc-25,6
GALC,C29E4.10,9
GALE,gale-1,13
GALK2,tag-96,11
GALM,C01B4.6,9
GALM,Y19D10A.16,9
GALNT1,gly-3,1
GALNT1,gly-6,12
GALNT1,gly-9,13
GALNT10,gly-10,1
GALNT11,gly-11,13
GALNT11,gly-8,12
GALNT12,gly-5,1
GALNT13,gly-3,1
GALNT14,gly-4,10
GALNT15,gly-5,1
GALNT16,gly-4,10
GALNT2,gly-4,10
GALNT3,gly-5,1
GALNT6,gly-5,1
GALNT7,gly-7,1
GALNTL6,gly-10,1
GALR2,npr-33,9
GALR2,npr-9,9
GALT,ZK1058.3,9
GANAB,aagr-3,1
GANC,aagr-4,12
GAPDH,gpd-1,9
GAPDH,gpd-2,1
GAPDH,gpd-3,1
GAPDH,gpd-4,9
GAPVD1,rme-6,12
GAR1,Y66H1A.4,13
GARS1,gars-1,13
GART,gars-1,13
GART,F38B6.4,20
GATA1,elt-1,9
GATA2,elt-7,9
GATA4,egl-18,3
GATA4,elt-1,9
GATA4,elt-2,20
GATA4,elt-3,18
GATA4,elt-4,9
GATA4,elt-6,3
GATA4,end-1,9
GATA4,end-3,9
GATA5,elt-1,9
GATA6,elt-1,9
GATAD2A,dcp-66,1
GATAD2B,dcp-66,1
GATB,C39B5.6,17
GATC,Y66D12A.7,9
GBA,gba-1,20
GBA,gba-2,9
GBA,gba-3,9
GBA,gba-4,20
GBA2,hpo-13,1
GBA2,R08F11.1,5
GBA3,klo-1,20
GBE1,T04A8.7,20
GBF1,gbf-1,1
GBX1,ceh-62,9
GCAT,T25B9.1,18
GCC2,gcc-2,13
GCDH,F54D5.7,13
GCFC2,F43G9.12,10
GCH1,cat-4,18
GCHFR,gfrp-1,9
GCK,hxk-1,10
GCLC,gcs-1,13
GCLM,E01A2.1,9
GCN1,gcn-1,1
GCNA,ZK328.4,17
GCNT1,gly-1,5
GCNT1,gly-15,9
GCNT1,gly-16,9
GCNT1,gly-17,9
GCNT1,H41C03.3,8
GCNT1,ZK1225.2,9
GCNT3,F26D2.3,9
GCNT3,F30A10.4,9
GCNT3,gly-18,9
GCNT3,gly-19,9
GCNT3,R07B7.6,9
GCNT3,R07C3.3,9
GCNT3,T09E11.6,9
GCNT3,T14B4.9,9
GCNT3,T27F6.1,9
GCNT3,T28F3.9,5
GCNT3,Y51H4A.25,9
GCNT4,T09E11.9,9
GCSH,F52A8.5,11
GCSH,gcsh-1,9
GDA,cpin-1,9
GDAP2,B0035.3,9
GDE1,T09B9.3,5
GDE1,T12B3.3,9
GDE1,T22G5.1,9
GDE1,ZC155.4,9
GDF1,dbl-1,6
GDF11,daf-7,5
GDF15,dbl-1,6
GDF2,dbl-1,6
GDF3,dbl-1,6
